t,x,y,z,time_from_sync
2560.6799998283386,-6308,-3028,922,2530.0
2560.6849999427795,-6310,-3032,925,2530.005000114441
2560.689999818802,-6312,-3038,926,2530.0099999904633
2560.694999933243,-6312,-3043,926,2530.015000104904
2560.699999809265,-6309,-3045,928,2530.0199999809265
2560.704999923706,-6308,-3043,929,2530.0250000953674
2560.7099997997284,-6306,-3038,932,2530.0299999713898
2560.7149999141693,-6309,-3034,934,2530.0350000858307
2560.719999790192,-6310,-3028,934,2530.0399999618535
2560.724999904633,-6308,-3025,936,2530.0450000762944
2560.729999780655,-6309,-3023,936,2530.0499999523163
2560.734999895096,-6304,-3025,937,2530.055000066757
2560.739999771118,-6300,-3029,938,2530.0599999427795
2560.744999885559,-6295,-3031,939,2530.0650000572205
2560.75,-6292,-3031,939,2530.0700001716614
2560.7549998760223,-6293,-3031,938,2530.0750000476837
2560.7599999904637,-6293,-3030,937,2530.080000162125
2560.7649998664856,-6297,-3031,937,2530.085000038147
2560.7699999809265,-6302,-3032,937,2530.090000152588
2560.774999856949,-6304,-3033,937,2530.0950000286102
2560.7799999713898,-6311,-3034,938,2530.100000143051
2560.784999847412,-6313,-3033,939,2530.1050000190735
2560.789999961853,-6312,-3032,942,2530.1100001335144
2560.794999837876,-6312,-3033,944,2530.115000009537
2560.7999999523163,-6307,-3035,946,2530.1200001239777
2560.8049998283386,-6303,-3038,948,2530.125
2560.8099999427795,-6300,-3041,949,2530.130000114441
2560.814999818802,-6296,-3043,949,2530.1349999904633
2560.819999933243,-6291,-3046,948,2530.140000104904
2560.824999809265,-6292,-3048,950,2530.1449999809265
2560.829999923706,-6295,-3052,948,2530.1500000953674
2560.8349997997284,-6302,-3052,950,2530.1549999713898
2560.8399999141693,-6305,-3055,951,2530.1600000858307
2560.844999790192,-6304,-3058,952,2530.1649999618535
2560.849999904633,-6300,-3062,954,2530.1700000762944
2560.854999780655,-6292,-3065,954,2530.1749999523163
2560.859999895096,-6285,-3067,954,2530.180000066757
2560.864999771118,-6286,-3069,954,2530.1849999427795
2560.869999885559,-6292,-3074,952,2530.1900000572205
2560.875,-6303,-3079,951,2530.1950001716614
2560.8799998760223,-6310,-3085,947,2530.2000000476837
2560.8849999904637,-6311,-3089,946,2530.205000162125
2560.8899998664856,-6305,-3091,945,2530.210000038147
2560.8949999809265,-6298,-3092,946,2530.215000152588
2560.899999856949,-6288,-3089,949,2530.2200000286102
2560.9049999713898,-6282,-3084,950,2530.225000143051
2560.909999847412,-6282,-3080,953,2530.2300000190735
2560.914999961853,-6284,-3082,956,2530.2350001335144
2560.919999837876,-6290,-3084,958,2530.240000009537
2560.9249999523163,-6297,-3083,961,2530.2450001239777
2560.9299998283386,-6298,-3081,964,2530.25
2560.9349999427795,-6301,-3078,968,2530.255000114441
2560.939999818802,-6301,-3077,971,2530.2599999904633
2560.944999933243,-6301,-3075,973,2530.265000104904
2560.949999809265,-6305,-3075,973,2530.2699999809265
2560.954999923706,-6307,-3072,971,2530.2750000953674
2560.9599997997284,-6310,-3068,969,2530.2799999713898
2560.9649999141693,-6310,-3065,966,2530.2850000858307
2560.969999790192,-6305,-3062,965,2530.2899999618535
2560.974999904633,-6300,-3062,962,2530.2950000762944
2560.979999780655,-6301,-3064,961,2530.2999999523163
2560.984999895096,-6303,-3066,959,2530.305000066757
2560.989999771118,-6306,-3064,959,2530.3099999427795
2560.994999885559,-6306,-3063,959,2530.3150000572205
2561.0,-6307,-3062,961,2530.3200001716614
2561.0049998760223,-6308,-3063,964,2530.3250000476837
2561.0099999904637,-6309,-3066,967,2530.330000162125
2561.0149998664856,-6307,-3066,971,2530.335000038147
2561.0199999809265,-6304,-3066,973,2530.340000152588
2561.024999856949,-6302,-3064,975,2530.3450000286102
2561.0299999713898,-6302,-3063,976,2530.350000143051
2561.034999847412,-6306,-3066,977,2530.3550000190735
2561.039999961853,-6315,-3067,978,2530.3600001335144
2561.044999837876,-6322,-3066,978,2530.365000009537
2561.0499999523163,-6324,-3064,976,2530.3700001239777
2561.0549998283386,-6325,-3064,974,2530.375
2561.0599999427795,-6321,-3068,973,2530.380000114441
2561.064999818802,-6319,-3073,972,2530.3849999904633
2561.069999933243,-6318,-3076,973,2530.390000104904
2561.074999809265,-6313,-3077,975,2530.3949999809265
2561.079999923706,-6309,-3079,975,2530.4000000953674
2561.0849997997284,-6303,-3081,975,2530.4049999713898
2561.0899999141693,-6295,-3086,975,2530.4100000858307
2561.094999790192,-6291,-3090,973,2530.4149999618535
2561.099999904633,-6284,-3093,970,2530.4200000762944
2561.104999780655,-6279,-3097,967,2530.4249999523163
2561.109999895096,-6274,-3098,965,2530.430000066757
2561.114999771118,-6273,-3100,964,2530.4349999427795
2561.119999885559,-6274,-3103,963,2530.4400000572205
2561.125,-6275,-3103,964,2530.4450001716614
2561.1299998760223,-6276,-3106,965,2530.4500000476837
2561.1349999904637,-6276,-3110,967,2530.455000162125
2561.1399998664856,-6272,-3110,968,2530.460000038147
2561.1449999809265,-6267,-3110,968,2530.465000152588
2561.149999856949,-6265,-3110,967,2530.4700000286102
2561.1549999713898,-6265,-3110,966,2530.475000143051
2561.159999847412,-6267,-3110,966,2530.4800000190735
2561.164999961853,-6267,-3109,965,2530.4850001335144
2561.169999837876,-6269,-3107,965,2530.490000009537
2561.1749999523163,-6270,-3107,965,2530.4950001239777
2561.1799998283386,-6272,-3107,966,2530.5
2561.1849999427795,-6272,-3109,967,2530.505000114441
2561.189999818802,-6272,-3112,967,2530.5099999904633
2561.194999933243,-6270,-3115,965,2530.515000104904
2561.199999809265,-6265,-3116,964,2530.5199999809265
2561.204999923706,-6264,-3118,963,2530.5250000953674
2561.2099997997284,-6261,-3115,959,2530.5299999713898
2561.2149999141693,-6260,-3114,959,2530.5350000858307
2561.219999790192,-6260,-3114,957,2530.5399999618535
2561.224999904633,-6254,-3111,956,2530.5450000762944
2561.229999780655,-6250,-3111,956,2530.5499999523163
2561.234999895096,-6246,-3111,956,2530.555000066757
2561.239999771118,-6242,-3110,957,2530.5599999427795
2561.244999885559,-6240,-3107,958,2530.5650000572205
2561.25,-6239,-3102,958,2530.5700001716614
2561.2549998760223,-6236,-3097,958,2530.5750000476837
2561.2599999904637,-6236,-3095,958,2530.580000162125
2561.2649998664856,-6235,-3094,958,2530.585000038147
2561.2699999809265,-6232,-3094,958,2530.590000152588
2561.274999856949,-6232,-3095,957,2530.5950000286102
2561.2799999713898,-6229,-3094,957,2530.600000143051
2561.284999847412,-6230,-3093,957,2530.6050000190735
2561.289999961853,-6229,-3095,956,2530.6100001335144
2561.294999837876,-6229,-3097,956,2530.615000009537
2561.2999999523163,-6227,-3099,955,2530.6200001239777
2561.3049998283386,-6225,-3105,955,2530.625
2561.3099999427795,-6223,-3105,954,2530.630000114441
2561.314999818802,-6224,-3103,953,2530.6349999904633
2561.319999933243,-6225,-3103,953,2530.640000104904
2561.324999809265,-6226,-3100,954,2530.6449999809265
2561.329999923706,-6227,-3103,954,2530.6500000953674
2561.3349997997284,-6231,-3103,954,2530.6549999713898
2561.3399999141693,-6236,-3103,953,2530.6600000858307
2561.344999790192,-6241,-3104,952,2530.6649999618535
2561.349999904633,-6245,-3105,951,2530.6700000762944
2561.354999780655,-6247,-3104,951,2530.6749999523163
2561.359999895096,-6249,-3103,951,2530.680000066757
2561.364999771118,-6251,-3101,950,2530.6849999427795
2561.369999885559,-6252,-3102,949,2530.6900000572205
2561.375,-6251,-3104,951,2530.6950001716614
2561.3799998760223,-6252,-3105,953,2530.7000000476837
2561.3849999904637,-6254,-3107,956,2530.705000162125
2561.3899998664856,-6256,-3107,958,2530.710000038147
2561.3949999809265,-6256,-3107,959,2530.715000152588
2561.399999856949,-6254,-3106,959,2530.7200000286102
2561.4049999713898,-6249,-3103,958,2530.725000143051
2561.409999847412,-6245,-3101,956,2530.7300000190735
2561.414999961853,-6240,-3098,955,2530.7350001335144
2561.419999837876,-6238,-3097,954,2530.740000009537
2561.4249999523163,-6237,-3095,955,2530.7450001239777
2561.4299998283386,-6235,-3095,955,2530.75
2561.4349999427795,-6234,-3099,956,2530.755000114441
2561.439999818802,-6231,-3099,956,2530.7599999904633
2561.444999933243,-6230,-3101,955,2530.765000104904
2561.449999809265,-6232,-3108,955,2530.7699999809265
2561.454999923706,-6233,-3112,954,2530.7750000953674
2561.4599997997284,-6236,-3115,952,2530.7799999713898
2561.4649999141693,-6239,-3118,952,2530.7850000858307
2561.469999790192,-6243,-3115,951,2530.7899999618535
2561.474999904633,-6251,-3115,950,2530.7950000762944
2561.479999780655,-6254,-3116,949,2530.7999999523163
2561.484999895096,-6254,-3118,947,2530.805000066757
2561.489999771118,-6255,-3121,946,2530.8099999427795
2561.494999885559,-6256,-3121,946,2530.8150000572205
2561.5,-6260,-3122,946,2530.8200001716614
2561.5049998760223,-6264,-3123,946,2530.8250000476837
2561.5099999904637,-6267,-3120,945,2530.830000162125
2561.5149998664856,-6269,-3120,942,2530.835000038147
2561.5199999809265,-6270,-3122,941,2530.840000152588
2561.524999856949,-6265,-3118,940,2530.8450000286102
2561.5299999713898,-6262,-3111,939,2530.850000143051
2561.534999847412,-6258,-3102,938,2530.8550000190735
2561.539999961853,-6257,-3094,936,2530.8600001335144
2561.544999837876,-6256,-3092,934,2530.865000009537
2561.5499999523163,-6254,-3094,935,2530.8700001239777
2561.5549998283386,-6253,-3095,935,2530.875
2561.5599999427795,-6252,-3101,936,2530.880000114441
2561.564999818802,-6251,-3105,935,2530.8849999904633
2561.569999933243,-6250,-3110,934,2530.890000104904
2561.574999809265,-6253,-3117,932,2530.8949999809265
2561.579999923706,-6258,-3124,932,2530.9000000953674
2561.5849997997284,-6264,-3127,932,2530.9049999713898
2561.5899999141693,-6267,-3129,933,2530.9100000858307
2561.594999790192,-6268,-3131,935,2530.9149999618535
2561.599999904633,-6263,-3129,936,2530.9200000762944
2561.604999780655,-6257,-3126,936,2530.9249999523163
2561.609999895096,-6254,-3121,936,2530.930000066757
2561.614999771118,-6250,-3118,933,2530.9349999427795
2561.619999885559,-6248,-3118,929,2530.9400000572205
2561.625,-6251,-3116,925,2530.9450001716614
2561.6299998760223,-6256,-3119,923,2530.9500000476837
2561.6349999904637,-6265,-3123,923,2530.955000162125
2561.6399998664856,-6269,-3125,924,2530.960000038147
2561.6449999809265,-6271,-3127,926,2530.965000152588
2561.649999856949,-6266,-3129,927,2530.9700000286102
2561.6549999713898,-6262,-3132,927,2530.975000143051
2561.659999847412,-6260,-3132,927,2530.9800000190735
2561.664999961853,-6258,-3131,928,2530.9850001335144
2561.669999837876,-6255,-3130,929,2530.990000009537
2561.6749999523163,-6254,-3123,929,2530.9950001239777
2561.6799998283386,-6251,-3121,928,2531.0
2561.6849999427795,-6248,-3119,927,2531.005000114441
2561.689999818802,-6246,-3117,927,2531.0099999904633
2561.694999933243,-6243,-3117,927,2531.015000104904
2561.699999809265,-6242,-3120,928,2531.0199999809265
2561.704999923706,-6244,-3125,928,2531.0250000953674
2561.7099997997284,-6247,-3131,925,2531.0299999713898
2561.7149999141693,-6251,-3137,922,2531.0350000858307
2561.719999790192,-6256,-3137,920,2531.0399999618535
2561.724999904633,-6257,-3134,917,2531.0450000762944
2561.729999780655,-6255,-3130,916,2531.0499999523163
2561.734999895096,-6254,-3131,915,2531.055000066757
2561.739999771118,-6251,-3131,913,2531.0599999427795
2561.744999885559,-6249,-3132,912,2531.0650000572205
2561.75,-6249,-3132,911,2531.0700001716614
2561.7549998760223,-6246,-3128,910,2531.0750000476837
2561.7599999904637,-6246,-3131,911,2531.080000162125
2561.7649998664856,-6245,-3136,911,2531.085000038147
2561.7699999809265,-6245,-3138,912,2531.090000152588
2561.774999856949,-6243,-3140,912,2531.0950000286102
2561.7799999713898,-6241,-3136,913,2531.100000143051
2561.784999847412,-6241,-3132,912,2531.1050000190735
2561.789999961853,-6243,-3128,912,2531.1100001335144
2561.794999837876,-6247,-3123,912,2531.115000009537
2561.7999999523163,-6247,-3126,911,2531.1200001239777
2561.8049998283386,-6247,-3125,911,2531.125
2561.8099999427795,-6244,-3124,912,2531.130000114441
2561.814999818802,-6245,-3122,913,2531.1349999904633
2561.819999933243,-6248,-3120,912,2531.140000104904
2561.824999809265,-6248,-3121,912,2531.1449999809265
2561.829999923706,-6248,-3122,911,2531.1500000953674
2561.8349997997284,-6246,-3125,911,2531.1549999713898
2561.8399999141693,-6249,-3126,910,2531.1600000858307
2561.844999790192,-6252,-3127,909,2531.1649999618535
2561.849999904633,-6254,-3128,908,2531.1700000762944
2561.854999780655,-6253,-3128,908,2531.1749999523163
2561.859999895096,-6250,-3125,908,2531.180000066757
2561.864999771118,-6248,-3123,907,2531.1849999427795
2561.869999885559,-6250,-3124,907,2531.1900000572205
2561.875,-6255,-3125,907,2531.1950001716614
2561.8799998760223,-6258,-3126,905,2531.2000000476837
2561.8849999904637,-6259,-3124,902,2531.205000162125
2561.8899998664856,-6256,-3123,898,2531.210000038147
2561.8949999809265,-6253,-3123,896,2531.215000152588
2561.899999856949,-6252,-3121,893,2531.2200000286102
2561.9049999713898,-6249,-3120,892,2531.225000143051
2561.909999847412,-6247,-3118,890,2531.2300000190735
2561.914999961853,-6247,-3115,887,2531.2350001335144
2561.919999837876,-6245,-3118,884,2531.240000009537
2561.9249999523163,-6241,-3118,883,2531.2450001239777
2561.9299998283386,-6238,-3121,882,2531.25
2561.9349999427795,-6236,-3119,884,2531.255000114441
2561.939999818802,-6236,-3118,885,2531.2599999904633
2561.944999933243,-6239,-3118,885,2531.265000104904
2561.949999809265,-6243,-3118,886,2531.2699999809265
2561.954999923706,-6246,-3124,887,2531.2750000953674
2561.9599997997284,-6250,-3126,888,2531.2799999713898
2561.9649999141693,-6251,-3125,889,2531.2850000858307
2561.969999790192,-6250,-3129,889,2531.2899999618535
2561.974999904633,-6247,-3126,890,2531.2950000762944
2561.979999780655,-6243,-3123,889,2531.2999999523163
2561.984999895096,-6240,-3123,886,2531.305000066757
2561.989999771118,-6240,-3118,883,2531.3099999427795
2561.994999885559,-6240,-3118,881,2531.3150000572205
2562.0,-6244,-3115,882,2531.3200001716614
2562.0049998760223,-6247,-3113,878,2531.3250000476837
2562.0099999904637,-6249,-3113,874,2531.330000162125
2562.0149998664856,-6251,-3114,871,2531.335000038147
2562.0199999809265,-6251,-3119,869,2531.340000152588
2562.024999856949,-6253,-3122,871,2531.3450000286102
2562.0299999713898,-6257,-3122,873,2531.350000143051
2562.034999847412,-6259,-3122,875,2531.3550000190735
2562.039999961853,-6260,-3121,876,2531.3600001335144
2562.044999837876,-6264,-3121,878,2531.365000009537
2562.0499999523163,-6265,-3121,878,2531.3700001239777
2562.0549998283386,-6265,-3117,880,2531.375
2562.0599999427795,-6266,-3114,881,2531.380000114441
2562.064999818802,-6262,-3112,882,2531.3849999904633
2562.069999933243,-6261,-3111,884,2531.390000104904
2562.074999809265,-6258,-3113,886,2531.3949999809265
2562.079999923706,-6256,-3114,887,2531.4000000953674
2562.0849997997284,-6257,-3113,886,2531.4049999713898
2562.0899999141693,-6258,-3111,885,2531.4100000858307
2562.094999790192,-6262,-3109,883,2531.4149999618535
2562.099999904633,-6264,-3110,883,2531.4200000762944
2562.104999780655,-6267,-3109,881,2531.4249999523163
2562.109999895096,-6270,-3109,880,2531.430000066757
2562.114999771118,-6269,-3109,878,2531.4349999427795
2562.119999885559,-6271,-3105,876,2531.4400000572205
2562.125,-6270,-3102,875,2531.4450001716614
2562.1299998760223,-6267,-3099,873,2531.4500000476837
