t,x,y,z,time_from_sync
2547.609999895096,-310,77,-386,2530.008333325386
2547.619999885559,-310,76,-386,2530.0183333158493
2547.6299998760223,-310,76,-386,2530.0283333063126
2547.6399998664856,-310,75,-386,2530.038333296776
2547.6500000953674,-310,77,-383,2530.0483335256577
2547.6600000858307,-310,77,-381,2530.058333516121
2547.670000076294,-310,76,-382,2530.068333506584
2547.680000066757,-311,75,-383,2530.0783334970474
2547.6900000572205,-311,74,-383,2530.0883334875107
2547.700000047684,-311,74,-384,2530.0983334779744
2547.710000038147,-311,73,-384,2530.108333468437
2547.7200000286102,-311,75,-381,2530.1183334589005
2547.730000019073,-311,75,-379,2530.1283334493633
2547.7400000095367,-311,74,-380,2530.138333439827
2547.75,-312,73,-381,2530.14833343029
2547.7599999904637,-312,72,-382,2530.158333420754
2547.7699999809265,-312,72,-382,2530.1683334112167
2547.7799999713898,-312,72,-382,2530.17833340168
2547.789999961853,-312,72,-383,2530.1883333921432
2547.7999999523163,-312,73,-380,2530.1983333826065
2547.8099999427795,-312,73,-378,2530.2083333730698
2547.819999933243,-312,72,-379,2530.218333363533
2547.829999923706,-313,71,-379,2530.2283333539963
2547.8399999141693,-313,70,-380,2530.2383333444595
2547.849999904633,-313,70,-380,2530.2483333349232
2547.859999895096,-314,69,-381,2530.258333325386
2547.869999885559,-314,69,-381,2530.2683333158493
2547.8799998760223,-314,70,-378,2530.2783333063126
2547.8899998664856,-314,71,-376,2530.288333296776
2547.9000000953674,-314,70,-377,2530.2983335256577
2547.9100000858307,-314,68,-378,2530.308333516121
2547.920000076294,-314,68,-379,2530.318333506584
2547.930000066757,-315,67,-379,2530.3283334970474
2547.9400000572205,-315,65,-380,2530.3383334875107
2547.950000047684,-315,64,-381,2530.3483334779744
2547.960000038147,-315,66,-378,2530.358333468437
2547.9700000286102,-314,67,-376,2530.3683334589005
2547.980000019073,-314,66,-377,2530.3783334493633
2547.9900000095367,-315,65,-378,2530.388333439827
2548.0,-315,65,-379,2530.39833343029
2548.0099999904637,-315,65,-379,2530.408333420754
2548.0199999809265,-315,64,-379,2530.4183334112167
2548.0299999713898,-315,65,-376,2530.42833340168
2548.039999961853,-315,65,-373,2530.4383333921432
2548.0499999523163,-316,64,-374,2530.4483333826065
2548.0599999427795,-316,63,-375,2530.4583333730698
2548.069999933243,-317,63,-376,2530.468333363533
2548.079999923706,-317,62,-376,2530.4783333539963
2548.0899999141693,-317,61,-377,2530.4883333444595
2548.099999904633,-318,61,-378,2530.4983333349232
2548.109999895096,-318,62,-375,2530.508333325386
2548.119999885559,-318,63,-373,2530.5183333158493
2548.1299998760223,-317,62,-374,2530.5283333063126
2548.1399998664856,-318,62,-375,2530.538333296776
2548.1500000953674,-318,61,-376,2530.5483335256577
2548.1600000858307,-319,61,-377,2530.558333516121
2548.170000076294,-319,60,-377,2530.568333506584
2548.1749999523163,-319,61,-373,2530.5733333826065
2548.180000066757,-319,61,-372,2530.5783334970474
2548.200000047684,-319,60,-370,2530.5983334779744
2548.210000038147,-319,59,-371,2530.608333468437
2548.2200000286102,-319,59,-372,2530.6183334589005
2548.230000019073,-319,58,-373,2530.6283334493633
2548.2400000095367,-320,58,-375,2530.638333439827
2548.25,-320,58,-376,2530.64833343029
2548.2599999904637,-321,57,-376,2530.658333420754
2548.2699999809265,-321,59,-374,2530.6683334112167
2548.2799999713898,-321,60,-372,2530.67833340168
2548.289999961853,-321,59,-373,2530.6883333921432
2548.2999999523163,-322,59,-374,2530.6983333826065
2548.3099999427795,-322,59,-375,2530.7083333730698
2548.319999933243,-322,58,-376,2530.718333363533
2548.329999923706,-322,58,-377,2530.7283333539963
2548.3399999141693,-322,59,-374,2530.7383333444595
2548.349999904633,-323,60,-372,2530.7483333349232
2548.359999895096,-323,59,-373,2530.758333325386
2548.369999885559,-323,59,-373,2530.7683333158493
2548.3799998760223,-323,58,-374,2530.7783333063126
2548.3899998664856,-323,58,-375,2530.788333296776
2548.4000000953674,-323,58,-376,2530.7983335256577
2548.4100000858307,-323,58,-377,2530.808333516121
2548.420000076294,-323,59,-374,2530.818333506584
2548.430000066757,-323,60,-372,2530.8283334970474
2548.4400000572205,-324,59,-373,2530.8383334875107
2548.450000047684,-324,59,-374,2530.8483334779744
2548.460000038147,-325,58,-374,2530.858333468437
2548.4700000286102,-325,58,-375,2530.8683334589005
2548.480000019073,-326,58,-375,2530.8783334493633
2548.4900000095367,-326,58,-376,2530.888333439827
2548.5,-326,59,-373,2530.89833343029
2548.5099999904637,-326,61,-371,2530.908333420754
2548.5199999809265,-326,60,-372,2530.9183334112167
2548.5299999713898,-327,60,-372,2530.92833340168
2548.539999961853,-327,59,-373,2530.9383333921432
2548.5499999523163,-328,58,-374,2530.9483333826065
2548.5599999427795,-328,58,-375,2530.9583333730698
2548.569999933243,-328,57,-375,2530.968333363533
2548.579999923706,-328,59,-372,2530.9783333539963
2548.5899999141693,-328,60,-371,2530.9883333444595
2548.599999904633,-328,60,-373,2530.9983333349232
2548.609999895096,-329,60,-374,2531.008333325386
2548.619999885559,-329,59,-375,2531.0183333158493
2548.6299998760223,-329,59,-375,2531.0283333063126
2548.6399998664856,-329,59,-376,2531.038333296776
2548.6500000953674,-329,61,-373,2531.0483335256577
2548.6600000858307,-329,62,-371,2531.058333516121
2548.670000076294,-329,62,-372,2531.068333506584
2548.680000066757,-329,61,-373,2531.0783334970474
2548.6900000572205,-330,60,-374,2531.0883334875107
2548.700000047684,-330,60,-375,2531.0983334779744
2548.710000038147,-330,60,-376,2531.108333468437
2548.7200000286102,-330,60,-376,2531.1183334589005
2548.730000019073,-330,62,-373,2531.1283334493633
2548.7400000095367,-329,63,-372,2531.138333439827
2548.75,-329,62,-373,2531.14833343029
2548.7599999904637,-329,61,-374,2531.158333420754
2548.7699999809265,-329,61,-375,2531.1683334112167
2548.7799999713898,-329,61,-376,2531.17833340168
2548.789999961853,-329,61,-377,2531.1883333921432
2548.7999999523163,-329,61,-378,2531.1983333826065
2548.8099999427795,-329,63,-375,2531.2083333730698
2548.819999933243,-329,64,-373,2531.218333363533
2548.829999923706,-329,64,-375,2531.2283333539963
2548.8399999141693,-329,63,-376,2531.2383333444595
2548.849999904633,-330,63,-378,2531.2483333349232
2548.859999895096,-330,63,-379,2531.258333325386
2548.869999885559,-330,63,-379,2531.2683333158493
2548.8799998760223,-330,63,-380,2531.2783333063126
2548.8899998664856,-330,65,-377,2531.288333296776
2548.9000000953674,-330,66,-375,2531.2983335256577
2548.9100000858307,-330,65,-376,2531.308333516121
2548.920000076294,-330,65,-377,2531.318333506584
2548.930000066757,-330,65,-378,2531.3283334970474
2548.9400000572205,-330,65,-379,2531.3383334875107
2548.950000047684,-330,66,-380,2531.3483334779744
2548.960000038147,-330,68,-377,2531.358333468437
2548.9700000286102,-330,69,-376,2531.3683334589005
2548.980000019073,-330,69,-378,2531.3783334493633
2548.9900000095367,-330,68,-379,2531.388333439827
2549.0,-330,68,-380,2531.39833343029
2549.0099999904637,-330,68,-381,2531.408333420754
2549.0199999809265,-330,69,-381,2531.4183334112167
2549.0299999713898,-330,69,-381,2531.42833340168
2549.039999961853,-330,71,-379,2531.4383333921432
2549.0499999523163,-329,72,-377,2531.4483333826065
2549.0599999427795,-329,72,-379,2531.4583333730698
2549.069999933243,-330,72,-380,2531.468333363533
2549.079999923706,-329,72,-382,2531.4783333539963
2549.0899999141693,-329,72,-382,2531.4883333444595
2549.099999904633,-329,72,-383,2531.4983333349232
2549.109999895096,-328,72,-384,2531.508333325386
2549.119999885559,-328,74,-381,2531.5183333158493
2549.1299998760223,-328,75,-379,2531.5283333063126
2549.1399998664856,-328,75,-381,2531.538333296776
2549.1500000953674,-327,75,-383,2531.5483335256577
2549.1600000858307,-327,75,-384,2531.558333516121
2549.170000076294,-327,75,-384,2531.568333506584
2549.1749999523163,-327,77,-381,2531.5733333826065
2549.180000066757,-327,78,-381,2531.5783334970474
2549.194999933243,-326,79,-379,2531.593333363533
2549.204999923706,-326,81,-377,2531.6033333539963
2549.2149999141693,-326,81,-378,2531.6133333444595
2549.224999904633,-327,81,-380,2531.6233333349232
2549.234999895096,-327,81,-381,2531.633333325386
2549.244999885559,-327,81,-382,2531.6433333158493
2549.2549998760223,-327,81,-383,2531.6533333063126
2549.2649998664856,-326,82,-380,2531.663333296776
2549.2750000953674,-326,84,-379,2531.6733335256577
2549.2850000858307,-326,83,-380,2531.683333516121
2549.295000076294,-326,83,-381,2531.693333506584
2549.305000066757,-326,84,-382,2531.7033334970474
2549.3150000572205,-326,84,-383,2531.7133334875107
2549.325000047684,-326,84,-384,2531.7233334779744
2549.335000038147,-326,83,-385,2531.733333468437
2549.3450000286102,-326,85,-382,2531.7433334589005
2549.355000019073,-325,86,-380,2531.7533334493633
2549.3650000095367,-325,86,-382,2531.763333439827
2549.375,-324,86,-384,2531.77333343029
2549.3849999904637,-324,85,-385,2531.783333420754
2549.3949999809265,-324,86,-386,2531.7933334112167
2549.4049999713898,-325,86,-387,2531.80333340168
2549.414999961853,-325,86,-387,2531.8133333921432
2549.4249999523163,-325,88,-384,2531.8233333826065
2549.4349999427795,-324,89,-381,2531.8333333730698
2549.444999933243,-324,89,-383,2531.843333363533
2549.454999923706,-324,89,-384,2531.8533333539963
2549.4649999141693,-324,90,-385,2531.8633333444595
2549.474999904633,-324,90,-387,2531.8733333349232
2549.484999895096,-324,90,-388,2531.883333325386
2549.494999885559,-324,90,-389,2531.8933333158493
2549.5049998760223,-324,92,-386,2531.9033333063126
2549.5149998664856,-323,93,-384,2531.913333296776
2549.5250000953674,-322,93,-385,2531.9233335256577
2549.5350000858307,-322,93,-387,2531.933333516121
2549.545000076294,-322,93,-388,2531.943333506584
2549.555000066757,-322,93,-389,2531.9533334970474
2549.5650000572205,-322,93,-390,2531.9633334875107
2549.575000047684,-322,93,-390,2531.9733334779744
2549.585000038147,-322,95,-388,2531.983333468437
2549.5950000286102,-322,96,-386,2531.9933334589005
2549.605000019073,-322,95,-387,2532.0033334493633
2549.6150000095367,-322,94,-388,2532.013333439827
2549.625,-321,94,-389,2532.02333343029
2549.6349999904637,-321,94,-390,2532.033333420754
2549.6449999809265,-321,94,-391,2532.0433334112167
2549.6549999713898,-320,96,-388,2532.05333340168
2549.664999961853,-320,97,-386,2532.0633333921432
2549.6749999523163,-319,97,-388,2532.0733333826065
2549.6849999427795,-319,97,-390,2532.0833333730698
2549.694999933243,-318,96,-390,2532.093333363533
2549.704999923706,-319,96,-391,2532.1033333539963
2549.7149999141693,-319,96,-392,2532.1133333444595
2549.724999904633,-318,96,-392,2532.1233333349232
2549.734999895096,-318,98,-390,2532.133333325386
2549.744999885559,-317,99,-389,2532.1433333158493
2549.7549998760223,-317,99,-390,2532.1533333063126
2549.7649998664856,-317,99,-391,2532.163333296776
2549.7750000953674,-317,98,-392,2532.1733335256577
2549.7850000858307,-317,98,-393,2532.183333516121
2549.795000076294,-317,98,-393,2532.193333506584
2549.805000066757,-317,98,-394,2532.2033334970474
2549.8150000572205,-316,99,-392,2532.2133334875107
2549.825000047684,-316,100,-390,2532.2233334779744
2549.835000038147,-316,100,-391,2532.233333468437
2549.8450000286102,-316,99,-392,2532.2433334589005
2549.855000019073,-315,98,-392,2532.2533334493633
2549.8650000095367,-315,98,-393,2532.263333439827
2549.875,-315,98,-394,2532.27333343029
2549.8849999904637,-315,98,-394,2532.283333420754
2549.8949999809265,-315,100,-391,2532.2933334112167
2549.9049999713898,-315,102,-389,2532.30333340168
2549.914999961853,-315,101,-390,2532.3133333921432
2549.9249999523163,-315,102,-391,2532.3233333826065
2549.9349999427795,-315,101,-392,2532.3333333730698
2549.944999933243,-315,101,-393,2532.343333363533
2549.954999923706,-316,100,-394,2532.3533333539963
2549.9649999141693,-316,102,-391,2532.3633333444595
2549.974999904633,-316,103,-389,2532.3733333349232
2549.984999895096,-315,103,-390,2532.383333325386
2549.994999885559,-315,102,-392,2532.3933333158493
2550.0049998760223,-316,102,-393,2532.4033333063126
2550.0149998664856,-316,101,-393,2532.413333296776
2550.0250000953674,-315,101,-393,2532.4233335256577
2550.0350000858307,-316,102,-394,2532.433333516121
2550.045000076294,-315,104,-391,2532.443333506584
2550.055000066757,-315,105,-390,2532.4533334970474
2550.0650000572205,-314,104,-392,2532.4633334875107
2550.075000047684,-314,104,-393,2532.4733334779744
2550.085000038147,-314,103,-393,2532.483333468437
2550.0950000286102,-314,103,-394,2532.4933334589005
2550.105000019073,-314,102,-395,2532.5033334493633
2550.1150000095367,-313,102,-395,2532.513333439827
2550.125,-313,103,-392,2532.52333343029
2550.1349999904637,-312,104,-390,2532.533333420754
2550.1449999809265,-312,104,-391,2532.5433334112167
2550.1549999713898,-312,104,-392,2532.55333340168
2550.164999961853,-312,103,-393,2532.5633333921432
2550.1749999523163,-312,103,-394,2532.5733333826065
2550.180000066757,-312,104,-391,2532.5783334970474
2550.1849999427795,-311,104,-390,2532.5833333730698
2550.200000047684,-311,104,-388,2532.5983334779744
2550.2200000286102,-311,104,-386,2532.6183334589005
2550.230000019073,-311,103,-388,2532.6283334493633
2550.2400000095367,-311,103,-389,2532.638333439827
2550.25,-312,102,-391,2532.64833343029
2550.2599999904637,-312,102,-392,2532.658333420754
2550.2699999809265,-312,102,-393,2532.6683334112167
2550.2799999713898,-312,103,-391,2532.67833340168
2550.289999961853,-311,104,-389,2532.6883333921432
2550.2999999523163,-312,103,-390,2532.6983333826065
2550.3099999427795,-312,102,-392,2532.7083333730698
2550.319999933243,-312,102,-393,2532.718333363533
2550.329999923706,-312,102,-393,2532.7283333539963
2550.3399999141693,-312,102,-394,2532.7383333444595
2550.349999904633,-312,102,-395,2532.7483333349232
2550.359999895096,-312,103,-392,2532.758333325386
2550.369999885559,-312,104,-390,2532.7683333158493
2550.3799998760223,-311,103,-391,2532.7783333063126
2550.3899998664856,-311,103,-392,2532.788333296776
2550.4000000953674,-311,103,-392,2532.7983335256577
2550.4100000858307,-311,102,-393,2532.808333516121
2550.420000076294,-311,102,-394,2532.818333506584
2550.430000066757,-311,101,-394,2532.8283334970474
2550.4400000572205,-311,103,-392,2532.8383334875107
2550.450000047684,-311,104,-390,2532.8483334779744
2550.460000038147,-311,103,-392,2532.858333468437
2550.4700000286102,-311,102,-393,2532.8683334589005
2550.480000019073,-311,101,-394,2532.8783334493633
2550.4900000095367,-311,101,-395,2532.888333439827
2550.5,-311,101,-395,2532.89833343029
2550.5099999904637,-311,101,-395,2532.908333420754
2550.5199999809265,-311,103,-392,2532.9183334112167
2550.5299999713898,-310,104,-391,2532.92833340168
2550.539999961853,-310,104,-392,2532.9383333921432
2550.5499999523163,-310,104,-392,2532.9483333826065
2550.5599999427795,-311,104,-393,2532.9583333730698
2550.569999933243,-311,103,-394,2532.968333363533
2550.579999923706,-311,103,-395,2532.9783333539963
2550.5899999141693,-311,105,-392,2532.9883333444595
2550.599999904633,-311,106,-390,2532.9983333349232
2550.609999895096,-310,105,-391,2533.008333325386
2550.619999885559,-310,105,-392,2533.0183333158493
2550.6299998760223,-310,104,-393,2533.0283333063126
2550.6399998664856,-311,103,-394,2533.038333296776
2550.6500000953674,-311,103,-394,2533.0483335256577
2550.6600000858307,-311,103,-395,2533.058333516121
2550.670000076294,-311,105,-393,2533.068333506584
2550.680000066757,-310,105,-391,2533.0783334970474
2550.6900000572205,-310,104,-392,2533.0883334875107
2550.700000047684,-310,104,-393,2533.0983334779744
2550.710000038147,-311,104,-393,2533.108333468437
2550.7200000286102,-311,104,-393,2533.1183334589005
2550.730000019073,-312,103,-392,2533.1283334493633
2550.7400000095367,-312,103,-393,2533.138333439827
2550.75,-312,104,-390,2533.14833343029
2550.7599999904637,-312,106,-388,2533.158333420754
2550.7699999809265,-312,106,-389,2533.1683334112167
2550.7799999713898,-313,105,-390,2533.17833340168
2550.789999961853,-313,105,-391,2533.1883333921432
2550.7999999523163,-313,104,-392,2533.1983333826065
2550.8099999427795,-313,104,-394,2533.2083333730698
2550.819999933243,-313,104,-395,2533.218333363533
2550.829999923706,-313,105,-392,2533.2283333539963
2550.8399999141693,-312,106,-390,2533.2383333444595
2550.849999904633,-312,106,-390,2533.2483333349232
2550.859999895096,-312,105,-391,2533.258333325386
2550.869999885559,-313,104,-392,2533.2683333158493
2550.8799998760223,-313,104,-392,2533.2783333063126
2550.8899998664856,-314,103,-393,2533.288333296776
2550.9000000953674,-314,104,-390,2533.2983335256577
2550.9100000858307,-314,105,-388,2533.308333516121
2550.920000076294,-314,105,-389,2533.318333506584
2550.930000066757,-314,104,-390,2533.3283334970474
2550.9400000572205,-314,103,-391,2533.3383334875107
2550.950000047684,-314,102,-392,2533.3483334779744
2550.960000038147,-314,102,-393,2533.358333468437
2550.9700000286102,-314,102,-393,2533.3683334589005
2550.980000019073,-314,103,-390,2533.3783334493633
2550.9900000095367,-313,104,-388,2533.388333439827
2551.0,-313,103,-390,2533.39833343029
2551.0099999904637,-313,103,-390,2533.408333420754
2551.0199999809265,-314,102,-391,2533.4183334112167
2551.0299999713898,-314,102,-393,2533.42833340168
2551.039999961853,-314,102,-393,2533.4383333921432
2551.0499999523163,-314,102,-393,2533.4483333826065
