Lat,Lng,Alt,Acc,Time,Prv,OrgLat,OrgLng,OrgAlt,OrgAcc,Speed,Bearing,AdvPrv,Dly,Dst,AltOfst,Pressure,PressureRef,RefAge,FromBT,Sats,Secs,AccDst,Quality,PDOP,VDOP,HDOP,DGPSAge,DGPSStat,Category,TimeWithTZ,TimeWithMS,DeviceTime,WriteTime,SpeedKPH,SpeedMPH,Battery,time_from_sync
50.74795,-1.23332,3,4.43,2023-12-12 14:01:26+00:00,gps,50.74801,-1.23339,51,8.0,3.78,325.56604,gps [GPS],00:00:01,3.6,0.0,,,,False,31 / 35,2954,26591.6,-,2.1,1.9,0.8,-,-,Ship,14:01:26 GMT,14:01:26.175,14:01:21.873,14:01:21.884,13.6,8.45,67,2820.001
50.74798,-1.23336,2,4.45,2023-12-12 14:01:27+00:00,gps,50.74804,-1.23343,51,8.0,3.81,324.07632,gps [GPS],00:00:01,3.7,0.0,,,,False,32 / 35,2954,26595.3,-,2.1,2.0,0.7,-,-,Ship,14:01:27 GMT,14:01:27.159,14:01:22.858,14:01:22.870,13.7,8.51,67,2821.001
50.74801,-1.23339,2,4.45,2023-12-12 14:01:28+00:00,gps,50.74806,-1.23346,50,8.0,3.85,323.8317,gps [GPS],00:00:01,3.8,0.0,,,,False,31 / 35,2956,26599.0,-,2.1,2.0,0.7,-,-,Ship,14:01:28 GMT,14:01:28.209,14:01:23.908,14:01:23.917,13.85,8.61,67,2822.001
50.74803,-1.23343,2,4.46,2023-12-12 14:01:29+00:00,gps,50.7481,-1.23351,51,8.0,4.13,320.51,gps [GPS],00:00:01,4.2,0.0,,,,False,31 / 33,2956,26603.3,-,2.3,2.1,0.7,-,-,Ship,14:01:29 GMT,14:01:29.144,14:01:24.843,14:01:24.851,14.86,9.23,67,2823.001
50.74806,-1.23347,2,4.46,2023-12-12 14:01:30+00:00,gps,50.74813,-1.23356,51,8.0,4.45,316.9774,gps [GPS],00:00:01,4.4,0.0,,,,False,31 / 34,2957,26607.6,-,2.2,2.1,0.8,-,-,Ship,14:01:30 GMT,14:01:30.140,14:01:25.839,14:01:25.849,16.01,9.95,67,2824.001
50.74809,-1.23351,2,4.46,2023-12-12 14:01:31+00:00,gps,50.74816,-1.23361,51,8.0,5.26,312.78168,gps [GPS],00:00:01,4.7,0.0,,,,False,29 / 33,2959,26612.3,-,2.1,2.0,0.7,-,-,Ship,14:01:31 GMT,14:01:31.180,14:01:26.878,14:01:26.887,18.94,11.77,67,2825.001
50.74813,-1.23357,2,4.46,2023-12-12 14:01:32+00:00,gps,50.74819,-1.23368,50,8.0,5.27,312.1103,gps [GPS],00:00:01,5.0,0.0,,,,False,30 / 35,2960,26617.3,-,2.1,2.0,0.7,-,-,Ship,14:01:32 GMT,14:01:32.204,14:01:27.903,14:01:27.916,18.97,11.79,67,2826.001
50.74816,-1.23362,2,4.46,2023-12-12 14:01:33+00:00,gps,50.74823,-1.23375,51,8.0,5.6,311.7773,gps [GPS],00:00:01,5.5,0.0,,,,False,31 / 35,2961,26622.8,-,2.1,2.0,0.7,-,-,Ship,14:01:33 GMT,14:01:33.174,14:01:28.872,14:01:28.882,20.17,12.53,67,2827.001
50.74819,-1.23369,2,4.46,2023-12-12 14:01:34+00:00,gps,50.74827,-1.23383,50,8.0,6.0,311.47415,gps [GPS],00:00:01,6.0,0.0,,,,False,31 / 33,2962,26628.8,-,2.0,1.9,0.7,-,-,Ship,14:01:34 GMT,14:01:34.179,14:01:29.877,14:01:29.891,21.6,13.42,67,2828.001
50.74823,-1.23376,3,4.46,2023-12-12 14:01:35+00:00,gps,50.74832,-1.23391,51,8.0,6.26,312.1256,gps [GPS],00:00:01,6.4,0.0,,,,False,31 / 32,2963,26635.2,-,2.0,1.9,0.7,-,-,Ship,14:01:35 GMT,14:01:35.190,14:01:30.888,14:01:30.898,22.55,14.01,67,2829.001
50.74827,-1.23383,2,4.46,2023-12-12 14:01:36+00:00,gps,50.74836,-1.23398,51,8.0,6.33,312.38647,gps [GPS],00:00:01,6.6,0.0,,,,False,33 / 33,2964,26641.8,-,1.8,1.7,0.7,-,-,Ship,14:01:36 GMT,14:01:36.186,14:01:31.885,14:01:31.898,22.79,14.16,67,2830.001
50.74831,-1.2339,2,4.46,2023-12-12 14:01:37+00:00,gps,50.74839,-1.23405,51,8.0,6.6,312.44128,gps [GPS],00:00:01,6.5,0.0,,,,False,32 / 33,2965,26648.4,-,1.8,1.7,0.7,-,-,Ship,14:01:37 GMT,14:01:37.174,14:01:32.872,14:01:32.885,23.77,14.77,67,2831.001
50.74835,-1.23397,3,4.46,2023-12-12 14:01:38+00:00,gps,50.74844,-1.23413,52,8.0,6.98,312.6213,gps [GPS],00:00:01,6.7,0.0,,,,False,28 / 33,2966,26655.1,-,1.6,1.4,0.7,-,-,Ship,14:01:38 GMT,14:01:38.178,14:01:33.877,14:01:33.901,25.13,15.62,67,2832.001
