t,x,y,z,time_from_sync
2853.914999961853,3076,-8312,-5056,2820.0016667842865
2853.919999837876,3049,-8328,-5056,2820.0066666603093
2853.9249999523163,3025,-8343,-5051,2820.0116667747498
2853.9299998283386,3001,-8357,-5043,2820.016666650772
2853.9349999427795,2977,-8370,-5035,2820.021666765213
2853.939999818802,2957,-8382,-5028,2820.0266666412354
2853.944999933243,2936,-8395,-5023,2820.0316667556763
2853.949999809265,2914,-8408,-5025,2820.0366666316986
2853.954999923706,2890,-8423,-5026,2820.0416667461395
2853.9599997997284,2864,-8440,-5025,2820.046666622162
2853.9649999141693,2840,-8455,-5027,2820.051666736603
2853.969999790192,2818,-8470,-5027,2820.0566666126256
2853.974999904633,2797,-8483,-5024,2820.0616667270665
2853.979999780655,2776,-8495,-5021,2820.0666666030884
2853.984999895096,2753,-8507,-5018,2820.0716667175293
2853.989999771118,2729,-8519,-5017,2820.0766665935516
2853.994999885559,2707,-8530,-5017,2820.0816667079926
2854.0,2671,-8546,-5012,2820.0866668224335
2854.0049998760223,2638,-8562,-5002,2820.091666698456
2854.0099999904637,2610,-8575,-4995,2820.096666812897
2854.0149998664856,2586,-8585,-4990,2820.101666688919
2854.0199999809265,2561,-8594,-4987,2820.10666680336
2854.024999856949,2534,-8603,-4984,2820.1116666793823
2854.0299999713898,2506,-8612,-4978,2820.1166667938232
2854.034999847412,2478,-8622,-4974,2820.1216666698456
2854.039999961853,2452,-8634,-4968,2820.1266667842865
2854.044999837876,2427,-8644,-4963,2820.1316666603093
2854.0499999523163,2402,-8654,-4965,2820.1366667747498
2854.0549998283386,2376,-8664,-4964,2820.141666650772
2854.0599999427795,2349,-8675,-4966,2820.146666765213
2854.064999818802,2324,-8686,-4968,2820.1516666412354
2854.069999933243,2298,-8696,-4965,2820.1566667556763
2854.074999809265,2272,-8706,-4966,2820.1616666316986
2854.079999923706,2247,-8715,-4964,2820.1666667461395
2854.0849997997284,2221,-8724,-4959,2820.171666622162
2854.0899999141693,2198,-8735,-4962,2820.176666736603
2854.094999790192,2173,-8745,-4963,2820.1816666126256
2854.099999904633,2149,-8750,-4962,2820.1866667270665
2854.104999780655,2127,-8757,-4963,2820.1916666030884
2854.109999895096,2107,-8763,-4961,2820.1966667175293
