Lat,Lng,Alt,Acc,Time,Prv,OrgLat,OrgLng,OrgAlt,OrgAcc,Speed,Bearing,AdvPrv,Dly,Dst,AltOfst,Pressure,PressureRef,RefAge,FromBT,Sats,Secs,AccDst,Quality,PDOP,VDOP,HDOP,DGPSAge,DGPSStat,Category,TimeWithTZ,TimeWithMS,DeviceTime,WriteTime,SpeedKPH,SpeedMPH,Battery,time_from_sync
50.73281,-1.15838,10,7.74,2023-12-12 08:35:47.998000+00:00,gps,50.73282,-1.15839,59,8.0,0.69,344.98196,gps [GPS],00:01:43,8.9,0,,,,False,06-Jun,2435,134.1,-,3.5,2.4,2.5,-,-,Ship,08:35:47 GMT,35:47.5,35:43.8,35:43.8,2.5,1.55,88,1239.998
50.73282,-1.15838,8,5.76,2023-12-12 08:35:48.997000+00:00,gps,50.73283,-1.15839,57,8.0,0.39,335.26544,gps [GPS],00:00:00,0.7,0,,,,False,07-Aug,2436,134.8,-,2.8,2.2,1.7,-,-,Ship,08:35:48 GMT,35:48.5,35:44.8,35:44.8,1.39,0.87,88,1240.997
50.73282,-1.15838,3,5.05,2023-12-12 08:35:50.012000+00:00,gps,50.73283,-1.15838,52,8.0,0.34,335.54276,gps [GPS],00:00:01,0.5,0,,,,False,08-Aug,2437,135.3,-,2.5,1.9,1.6,-,-,Ship,08:35:50 GMT,35:49.6,35:45.9,35:45.9,1.21,0.75,88,1242.012
50.73284,-1.1583,-9,6.32,2023-12-12 08:35:58.999000+00:00,gps,50.73285,-1.15826,39,8.0,0.0,0.0,gps [GPS],00:00:08,5.9,0,,,,False,19 / 19,2446,141.2,-,1.4,1.1,0.9,-,-,Ship,08:35:58 GMT,35:58.6,35:54.9,35:54.9,0.0,0.0,88,1250.999
50.73285,-1.15828,-8,5.27,2023-12-12 08:35:59.999000+00:00,gps,50.73285,-1.15826,40,8.0,0.0,0.0,gps [GPS],00:00:01,1.5,0,,,,False,20 / 20,2447,142.7,-,1.4,1.1,0.9,-,-,Ship,08:35:59 GMT,35:59.6,35:55.9,35:55.9,0.0,0.0,88,1251.999
50.73285,-1.15827,-8,4.83,2023-12-12 08:36:00.999000+00:00,gps,50.73285,-1.15826,41,8.0,0.0,0.0,gps [GPS],00:00:01,0.7,0,,,,False,20 / 20,2448,143.4,-,1.4,1.2,0.9,-,-,Ship,08:36:00 GMT,36:00.7,35:56.9,35:57.0,0.0,0.0,88,1252.999
50.73285,-1.15826,-7,4.64,2023-12-12 08:36:01.999000+00:00,gps,50.73285,-1.15825,41,8.0,0.0,0.0,gps [GPS],00:00:01,0.6,0,,,,False,22 / 22,2449,144.0,-,1.4,1.2,0.8,-,-,Ship,08:36:01 GMT,36:01.7,35:58.0,35:58.0,0.0,0.0,89,1253.999
50.73285,-1.15826,-6,4.54,2023-12-12 08:36:02.999000+00:00,gps,50.73285,-1.15825,42,8.0,0.0,0.0,gps [GPS],00:00:01,0.4,0,,,,False,24 / 24,2450,144.4,-,1.4,1.1,0.8,-,-,Ship,08:36:02 GMT,36:02.6,35:58.9,35:58.9,0.0,0.0,89,1254.999
50.73285,-1.15826,-6,4.5,2023-12-12 08:36:03.999000+00:00,gps,50.73285,-1.15825,42,8.0,0.0,0.0,gps [GPS],00:00:01,0.2,0,,,,False,25 / 25,2451,144.6,-,1.5,1.3,0.9,-,-,Ship,08:36:03 GMT,36:03.6,35:59.9,35:59.9,0.0,0.0,89,1255.999
50.73285,-1.15825,-7,4.48,2023-12-12 08:36:04.999000+00:00,gps,50.73285,-1.15825,41,8.0,0.0,0.0,gps [GPS],00:00:01,0.2,0,,,,False,27 / 27,2452,144.8,-,2.1,1.8,1.1,-,-,Ship,08:36:04 GMT,36:04.7,36:01.0,36:01.0,0.0,0.0,89,1256.999
50.73285,-1.15825,-7,4.47,2023-12-12 08:36:05.999000+00:00,gps,50.73285,-1.15825,41,8.0,0.0,0.0,gps [GPS],00:00:01,0.1,0,,,,False,27 / 27,2453,144.9,-,1.5,1.2,0.9,-,-,Ship,08:36:05 GMT,36:05.6,36:01.9,36:01.9,0.0,0.0,89,1257.999
50.73285,-1.15825,-7,4.47,2023-12-12 08:36:06.999000+00:00,gps,50.73285,-1.15825,42,8.0,0.0,0.0,gps [GPS],00:00:01,0.1,0,,,,False,27 / 27,2454,145.0,-,1.5,1.2,0.8,-,-,Ship,08:36:06 GMT,36:06.6,36:02.9,36:02.9,0.0,0.0,89,1258.999
50.73289,-1.15828,14,5.96,2023-12-12 08:40:37.893000+00:00,gps,50.7329,-1.15828,63,6.0,0.02,179.87553,gps [GPS],00:04:30,5.0,0,,,,False,06-Aug,2724,150.0,-,2.7,2.1,1.7,-,-,Ship,08:40:37 GMT,40:37.3,40:33.6,40:33.6,0.08,0.05,93,1529.893
50.73281,-1.15829,-12,1.5,2023-12-12 08:44:37.510000+00:00,gps,50.73281,-1.15829,37,1.5,0.19,78.23137,gps [GPS],00:03:59,9.4,0,,,,False,04-Oct,2964,159.4,-,3.7,3.1,2.0,-,-,Ship,08:44:37 GMT,44:37.3,44:33.6,44:33.6,0.69,0.43,96,1769.51
50.73281,-1.15829,-24,3.09,2023-12-12 08:44:38.510000+00:00,gps,50.73281,-1.15829,25,8.0,0.0,0.0,gps [GPS],00:00:01,0.0,0,,,,False,11-Dec,2965,159.4,-,2.5,1.9,1.7,-,-,Ship,08:44:38 GMT,44:38.3,44:34.6,44:34.6,0.0,0.0,96,1770.51
50.73281,-1.15829,-27,3.79,2023-12-12 08:44:39.510000+00:00,gps,50.73281,-1.15829,21,8.0,0.0,0.0,gps [GPS],00:00:01,0.0,0,,,,False,13 / 13,2966,159.4,-,2.5,1.9,1.7,-,-,Ship,08:44:39 GMT,44:39.4,44:35.7,44:35.7,0.0,0.0,96,1771.51
50.73281,-1.15829,-21,4.4,2023-12-12 08:44:41+00:00,gps,50.73281,-1.15829,27,8.0,0.0,0.0,gps [GPS],00:00:01,0.0,0,,,,False,15 / 15,2968,159.4,-,2.0,1.5,1.3,-,-,Ship,08:44:41 GMT,44:40.8,44:37.1,44:37.1,0.0,0.0,96,1773.0
50.73281,-1.15829,-21,4.43,2023-12-12 08:44:42+00:00,gps,50.73281,-1.15829,27,8.0,0.0,0.0,gps [GPS],00:00:01,0.0,0,,,,False,15 / 15,2969,159.4,-,2.0,1.5,1.3,-,-,Ship,08:44:42 GMT,44:41.9,44:38.2,44:38.2,0.0,0.0,96,1774.0
