Lat,Lng,Alt,Acc,Time,Prv,OrgLat,OrgLng,OrgAlt,OrgAcc,Speed,Bearing,AdvPrv,Dly,Dst,AltOfst,Pressure,PressureRef,RefAge,FromBT,Sats,Secs,AccDst,Quality,PDOP,VDOP,HDOP,DGPSAge,DGPSStat,Category,TimeWithTZ,TimeWithMS,DeviceTime,WriteTime,SpeedKPH,SpeedMPH,Battery,time_from_sync
50.73286,-1.15822,-2,7.96,2023-12-12 08:55:42.999000+00:00,gps,50.73287,-1.15822,47,8.0,0.0,0.0,gps [GPS],00:10:48,7.5,0,,,,False,29 / 31,3630,167.8,-,1.9,1.5,1.1,-,-,Ship,08:55:42 GMT,55:43.2,55:39.5,55:39.5,0.0,0.0,100,2434.999
50.73286,-1.15822,-2,5.83,2023-12-12 08:55:43.999000+00:00,gps,50.73287,-1.15822,46,8.0,0.0,0.0,gps [GPS],00:00:01,0.0,0,,,,False,29 / 30,3631,167.9,-,1.9,1.5,1.1,-,-,Ship,08:55:43 GMT,55:44.2,55:40.5,55:40.5,0.0,0.0,100,2435.999
50.73287,-1.15822,-3,5.07,2023-12-12 08:55:44.999000+00:00,gps,50.73287,-1.15822,46,8.0,0.0,0.0,gps [GPS],00:00:01,0.0,0,,,,False,30 / 32,3632,167.9,-,1.5,1.2,0.8,-,-,Ship,08:55:44 GMT,55:45.2,55:41.5,55:41.5,0.0,0.0,100,2436.999
50.73287,-1.15822,-3,4.74,2023-12-12 08:55:45.999000+00:00,gps,50.73287,-1.15822,45,8.0,0.0,0.0,gps [GPS],00:00:01,0.0,0,,,,False,30 / 32,3633,167.9,-,1.5,1.2,0.9,-,-,Ship,08:55:45 GMT,55:46.2,55:42.5,55:42.5,0.0,0.0,100,2437.999
50.73287,-1.15822,-3,4.59,2023-12-12 08:55:46.999000+00:00,gps,50.73287,-1.15822,45,8.0,0.0,0.0,gps [GPS],00:00:01,0.0,0,,,,False,31 / 32,3634,167.9,-,1.5,1.2,0.8,-,-,Ship,08:55:46 GMT,55:47.2,55:43.5,55:43.5,0.0,0.0,100,2438.999
50.73287,-1.15822,-3,4.53,2023-12-12 08:55:47.999000+00:00,gps,50.73287,-1.15822,45,8.0,0.0,0.0,gps [GPS],00:00:01,0.0,0,,,,False,28 / 30,3635,167.9,-,2.0,1.6,1.2,-,-,Ship,08:55:47 GMT,55:48.2,55:44.5,55:44.5,0.0,0.0,100,2439.999
50.73287,-1.15822,-3,4.49,2023-12-12 08:55:48.999000+00:00,gps,50.73287,-1.15822,45,8.0,0.0,0.0,gps [GPS],00:00:01,0.0,0,,,,False,30 / 30,3636,167.9,-,1.9,1.5,1.2,-,-,Ship,08:55:48 GMT,55:49.2,55:45.5,55:45.5,0.0,0.0,100,2440.999
50.73287,-1.15822,-3,4.48,2023-12-12 08:55:49.999000+00:00,gps,50.73287,-1.15822,46,8.0,0.0,0.0,gps [GPS],00:00:01,0.0,0,,,,False,31 / 32,3637,167.9,-,1.9,1.5,1.2,-,-,Ship,08:55:49 GMT,55:50.2,55:46.5,55:46.5,0.0,0.0,100,2441.999
50.73287,-1.15822,-2,4.47,2023-12-12 08:55:50.999000+00:00,gps,50.73287,-1.15822,46,8.0,0.0,0.0,gps [GPS],00:00:01,0.0,0,,,,False,31 / 31,3638,167.9,-,1.9,1.5,1.1,-,-,Ship,08:55:50 GMT,55:51.2,55:47.5,55:47.5,0.0,0.0,100,2442.999
50.73287,-1.15822,-2,4.47,2023-12-12 08:55:51.999000+00:00,gps,50.73287,-1.15822,47,8.0,0.0,0.0,gps [GPS],00:00:01,0.0,0,,,,False,29 / 30,3639,167.9,-,1.9,1.5,1.1,-,-,Ship,08:55:51 GMT,55:52.2,55:48.5,55:48.5,0.0,0.0,100,2443.999
50.73287,-1.15822,-1,4.46,2023-12-12 08:55:52.999000+00:00,gps,50.73287,-1.15822,47,8.0,0.0,0.0,gps [GPS],00:00:01,0.0,0,,,,False,29 / 30,3640,167.9,-,2.2,1.8,1.2,-,-,Ship,08:55:52 GMT,55:53.2,55:49.5,55:49.5,0.0,0.0,100,2444.999
