Lat,Lng,Alt,Acc,Time,Prv,OrgLat,OrgLng,OrgAlt,OrgAcc,Speed,Bearing,AdvPrv,Dly,Dst,AltOfst,Pressure,PressureRef,RefAge,FromBT,Sats,Secs,AccDst,Quality,PDOP,VDOP,HDOP,DGPSAge,DGPSStat,Category,TimeWithTZ,TimeWithMS,DeviceTime,WriteTime,SpeedKPH,SpeedMPH,Battery,time_from_sync
50.72544,-1.10036,7,4.02,2023-12-12 09:08:59+00:00,gps,50.72525,-1.10028,55,6.0,12.5,166.38635,gps [GPS],00:00:01,17.9,0,,,,False,33 / 35,4426,5072.9,-,1.4,1.2,0.7,-,-,Ship,09:08:59 GMT,08:58.6,08:54.9,08:54.9,45.01,27.97,100,3231.0
50.72532,-1.1003,7,3.85,2023-12-12 09:09:00+00:00,gps,50.72514,-1.10022,55,6.0,12.33,165.51645,gps [GPS],00:00:01,14.2,0,,,,False,33 / 34,4427,5087.1,-,1.3,1.1,0.7,-,-,Ship,09:09:00 GMT,08:59.6,08:55.9,08:55.9,44.39,27.58,100,3232.0
50.72521,-1.10025,7,3.79,2023-12-12 09:09:01+00:00,gps,50.72503,-1.10017,55,6.0,12.38,164.62589,gps [GPS],00:00:01,13.1,0,,,,False,33 / 34,4428,5100.3,-,1.4,1.1,0.8,-,-,Ship,09:09:01 GMT,09:00.6,08:56.8,08:56.8,44.57,27.69,100,3233.0
50.72509,-1.10019,7,3.76,2023-12-12 09:09:02+00:00,gps,50.72492,-1.10011,55,6.0,12.5,161.5684,gps [GPS],00:00:01,12.9,0,,,,False,33 / 34,4429,5113.1,-,1.4,1.2,0.8,-,-,Ship,09:09:02 GMT,09:01.6,08:57.9,08:57.9,44.99,27.96,100,3234.0
50.72499,-1.10014,7,3.75,2023-12-12 09:09:03+00:00,gps,50.72482,-1.10005,55,6.0,12.52,160.74265,gps [GPS],00:00:01,12.7,0,,,,False,34 / 34,4430,5125.8,-,1.3,1.1,0.7,-,-,Ship,09:09:03 GMT,09:02.6,08:58.8,08:58.8,45.09,28.02,100,3235.0
50.72488,-1.10008,7,3.75,2023-12-12 09:09:04+00:00,gps,50.72471,-1.1,55,6.0,12.57,160.23749,gps [GPS],00:00:01,12.8,0,,,,False,35 / 36,4431,5138.6,-,1.3,1.1,0.7,-,-,Ship,09:09:04 GMT,09:03.6,08:59.8,08:59.9,45.25,28.12,100,3236.0
50.72477,-1.10002,7,3.75,2023-12-12 09:09:05+00:00,gps,50.7246,-1.09993,55,6.0,12.66,160.23758,gps [GPS],00:00:01,12.7,0,,,,False,35 / 36,4432,5151.4,-,1.3,1.1,0.7,-,-,Ship,09:09:05 GMT,09:04.6,09:00.9,09:00.9,45.58,28.33,100,3237.0
50.72466,-1.09996,7,3.75,2023-12-12 09:09:06+00:00,gps,50.72449,-1.09987,56,6.0,12.67,159.13176,gps [GPS],00:00:01,12.8,0,,,,False,33 / 34,4433,5164.2,-,1.3,1.1,0.7,-,-,Ship,09:09:06 GMT,09:05.6,09:01.8,09:01.8,45.6,28.34,100,3238.0
50.72455,-1.0999,7,3.75,2023-12-12 09:09:07+00:00,gps,50.72438,-1.0998,56,6.0,12.75,159.15404,gps [GPS],00:00:01,12.9,0,,,,False,33 / 34,4434,5177.1,-,1.4,1.2,0.7,-,-,Ship,09:09:07 GMT,09:06.6,09:02.8,09:02.8,45.9,28.52,100,3239.0
50.72444,-1.09983,7,3.75,2023-12-12 09:09:08+00:00,gps,50.72427,-1.09973,56,6.0,12.88,157.61707,gps [GPS],00:00:01,12.9,0,,,,False,33 / 34,4435,5189.9,-,1.4,1.1,0.8,-,-,Ship,09:09:08 GMT,09:07.6,09:03.9,09:03.9,46.38,28.82,100,3240.0
50.72434,-1.09976,8,3.75,2023-12-12 09:09:09+00:00,gps,50.72417,-1.09966,56,6.0,12.94,156.88263,gps [GPS],00:00:01,12.9,0,,,,False,33 / 34,4435,5202.8,-,1.4,1.1,0.8,-,-,Ship,09:09:09 GMT,09:08.5,09:04.8,09:04.8,46.6,28.95,100,3241.0
50.72423,-1.09969,7,3.75,2023-12-12 09:09:10+00:00,gps,50.72406,-1.09958,56,6.0,13.05,156.16148,gps [GPS],00:00:01,12.9,0,,,,False,33 / 34,4437,5215.7,-,1.3,1.1,0.7,-,-,Ship,09:09:10 GMT,09:09.6,09:05.8,09:05.9,46.99,29.2,100,3242.0
50.72412,-1.09962,7,3.75,2023-12-12 09:09:11+00:00,gps,50.72395,-1.09951,56,6.0,13.2,156.28381,gps [GPS],00:00:01,13.0,0,,,,False,33 / 34,4438,5228.8,-,1.3,1.1,0.7,-,-,Ship,09:09:11 GMT,09:10.6,09:06.8,09:06.9,47.53,29.53,100,3243.0
50.72401,-1.09955,8,3.75,2023-12-12 09:09:12+00:00,gps,50.72384,-1.09943,56,6.0,13.28,156.2852,gps [GPS],00:00:01,13.1,0,,,,False,31 / 34,4439,5241.9,-,1.2,1.0,0.8,-,-,Ship,09:09:12 GMT,09:11.6,09:07.8,09:07.9,47.8,29.7,100,3244.0
50.7239,-1.09947,7,3.75,2023-12-12 09:09:13+00:00,gps,50.72373,-1.09935,56,6.0,13.38,155.81311,gps [GPS],00:00:01,13.6,0,,,,False,34 / 34,4440,5255.4,-,1.3,1.1,0.7,-,-,Ship,09:09:13 GMT,09:12.6,09:08.8,09:08.8,48.18,29.94,100,3245.0
50.72379,-1.09939,7,3.75,2023-12-12 09:09:14+00:00,gps,50.72361,-1.09927,55,6.0,13.42,155.84628,gps [GPS],00:00:01,13.7,0,,,,False,34 / 35,4441,5269.2,-,1.2,1.0,0.8,-,-,Ship,09:09:14 GMT,09:13.6,09:09.8,09:09.9,48.32,30.03,100,3246.0
50.72367,-1.09932,7,3.75,2023-12-12 09:09:15+00:00,gps,50.7235,-1.0992,56,6.0,13.47,156.01624,gps [GPS],00:00:01,13.6,0,,,,False,33 / 33,4442,5282.7,-,1.4,1.1,0.8,-,-,Ship,09:09:15 GMT,09:14.6,09:10.8,09:10.8,48.47,30.12,100,3247.0
50.72356,-1.09925,7,3.75,2023-12-12 09:09:16+00:00,gps,50.72339,-1.09913,56,6.0,13.58,158.69972,gps [GPS],00:00:01,13.5,0,,,,False,34 / 35,4443,5296.2,-,1.4,1.1,0.8,-,-,Ship,09:09:16 GMT,09:15.6,09:11.9,09:11.9,48.89,30.38,100,3248.0
50.72345,-1.09917,7,3.75,2023-12-12 09:09:17+00:00,gps,50.72327,-1.09906,56,6.0,13.53,158.31981,gps [GPS],00:00:01,13.5,0,,,,False,34 / 35,4444,5309.7,-,1.3,1.1,0.7,-,-,Ship,09:09:17 GMT,09:16.6,09:12.9,09:12.9,48.73,30.28,100,3249.0
50.72334,-1.0991,7,3.75,2023-12-12 09:09:18+00:00,gps,50.72316,-1.09899,56,6.0,13.66,158.34753,gps [GPS],00:00:01,13.6,0,,,,False,35 / 36,4445,5323.3,-,1.4,1.2,0.7,-,-,Ship,09:09:18 GMT,09:17.6,09:13.9,09:13.9,49.17,30.56,100,3250.0
50.72322,-1.09903,7,3.75,2023-12-12 09:09:19+00:00,gps,50.72305,-1.09892,55,6.0,13.84,158.61964,gps [GPS],00:00:01,13.6,0,,,,False,33 / 35,4446,5336.9,-,1.3,1.1,0.7,-,-,Ship,09:09:19 GMT,09:18.6,09:14.8,09:14.8,49.81,30.95,100,3251.0
50.72311,-1.09897,7,3.75,2023-12-12 09:09:20+00:00,gps,50.72293,-1.09886,56,6.0,13.86,161.6469,gps [GPS],00:00:01,13.7,0,,,,False,35 / 35,4447,5350.6,-,1.4,1.2,0.7,-,-,Ship,09:09:20 GMT,09:19.6,09:15.9,09:15.9,49.88,30.99,100,3252.0
50.72298,-1.09891,6,3.75,2023-12-12 09:09:21+00:00,gps,50.72279,-1.09882,54,6.0,15.84,162.41028,gps [GPS],00:00:01,14.4,0,,,,False,35 / 35,4448,5364.9,-,1.4,1.2,0.7,-,-,Ship,09:09:21 GMT,09:20.6,09:16.8,09:16.9,57.04,35.44,100,3253.0
50.72286,-1.09885,6,3.75,2023-12-12 09:09:22+00:00,gps,50.72267,-1.09877,54,6.0,14.0,164.4593,gps [GPS],00:00:01,14.2,0,,,,False,35 / 35,4449,5379.1,-,1.3,1.1,0.7,-,-,Ship,09:09:22 GMT,09:21.6,09:17.8,09:17.8,50.4,31.32,100,3254.0
50.72274,-1.0988,6,3.75,2023-12-12 09:09:23+00:00,gps,50.72255,-1.09871,54,6.0,13.98,164.54555,gps [GPS],00:00:01,14.0,0,,,,False,34 / 35,4450,5393.1,-,1.2,1.0,0.7,-,-,Ship,09:09:23 GMT,09:22.6,09:18.9,09:18.9,50.32,31.27,100,3255.0
50.72262,-1.09875,6,3.75,2023-12-12 09:09:24+00:00,gps,50.72243,-1.09866,55,6.0,13.88,166.48212,gps [GPS],00:00:01,13.8,0,,,,False,35 / 36,4451,5406.8,-,1.3,1.1,0.7,-,-,Ship,09:09:24 GMT,09:23.6,09:19.8,09:19.8,49.98,31.06,100,3256.0
50.7225,-1.0987,6,3.75,2023-12-12 09:09:25+00:00,gps,50.72231,-1.09862,55,6.0,13.71,168.55798,gps [GPS],00:00:01,13.8,0,,,,False,36 / 36,4452,5420.6,-,1.3,1.1,0.7,-,-,Ship,09:09:25 GMT,09:24.6,09:20.8,09:20.8,49.36,30.67,100,3257.0
50.72238,-1.09866,7,3.75,2023-12-12 09:09:26+00:00,gps,50.72219,-1.09859,55,6.0,13.92,171.70332,gps [GPS],00:00:01,13.6,0,,,,False,36 / 36,4453,5434.2,-,1.2,1.0,0.7,-,-,Ship,09:09:26 GMT,09:25.6,09:21.8,09:21.8,50.11,31.14,100,3258.0
50.7223,-1.09863,8,4.12,2023-12-12 09:09:27+00:00,gps,50.72207,-1.09857,56,8.0,14.19,175.4524,gps [GPS],00:00:01,9.3,0,,,,False,36 / 36,4454,5443.6,-,1.4,1.1,0.7,-,-,Ship,09:09:27 GMT,09:26.6,09:22.8,09:22.8,51.09,31.74,100,3259.0
50.7222,-1.09862,8,4.3,2023-12-12 09:09:28+00:00,gps,50.72194,-1.09857,56,8.0,13.85,178.22028,gps [GPS],00:00:01,11.5,0,,,,False,34 / 36,4455,5455.0,-,1.3,1.0,0.8,-,-,Ship,09:09:28 GMT,09:27.6,09:23.8,09:23.8,49.88,30.99,100,3260.0
50.72208,-1.0986,8,4.38,2023-12-12 09:09:29+00:00,gps,50.72182,-1.09857,56,8.0,13.56,179.66026,gps [GPS],00:00:01,12.6,0,,,,False,35 / 35,4456,5467.6,-,1.2,1.0,0.7,-,-,Ship,09:09:29 GMT,09:28.6,09:24.8,09:24.9,48.8,30.33,100,3261.0
50.72196,-1.0986,8,4.43,2023-12-12 09:09:30+00:00,gps,50.72169,-1.09859,56,8.0,14.08,182.15053,gps [GPS],00:00:01,13.2,0,,,,False,36 / 36,4457,5480.9,-,1.5,1.2,0.8,-,-,Ship,09:09:30 GMT,09:29.6,09:25.8,09:25.8,50.7,31.51,100,3262.0
50.72179,-1.0986,8,3.99,2023-12-12 09:09:31+00:00,gps,50.72157,-1.09861,56,6.0,13.82,183.14009,gps [GPS],00:00:01,19.3,0,,,,False,36 / 36,4458,5500.1,-,1.3,1.1,0.7,-,-,Ship,09:09:31 GMT,09:30.6,09:26.8,09:26.9,49.77,30.92,100,3263.0
50.72165,-1.09862,8,3.84,2023-12-12 09:09:32+00:00,gps,50.72146,-1.09864,56,6.0,13.39,187.84056,gps [GPS],00:00:01,15.2,0,,,,False,36 / 36,4459,5515.3,-,1.3,1.1,0.7,-,-,Ship,09:09:32 GMT,09:31.6,09:27.8,09:27.9,48.19,29.95,100,3264.0
50.72153,-1.09864,8,3.78,2023-12-12 09:09:33+00:00,gps,50.72134,-1.09867,57,6.0,13.39,187.93443,gps [GPS],00:00:01,14.0,0,,,,False,35 / 35,4460,5529.3,-,1.2,1.0,0.7,-,-,Ship,09:09:33 GMT,09:32.6,09:28.9,09:28.9,48.19,29.94,100,3265.0
50.72141,-1.09867,8,3.76,2023-12-12 09:09:34+00:00,gps,50.72122,-1.09871,57,6.0,13.44,189.06334,gps [GPS],00:00:01,13.5,0,,,,False,35 / 36,4461,5542.8,-,1.2,1.0,0.7,-,-,Ship,09:09:34 GMT,09:33.6,09:29.8,09:29.9,48.37,30.05,100,3266.0
50.72123,-1.09872,9,3.08,2023-12-12 09:09:35+00:00,gps,50.72111,-1.09876,57,4.0,13.52,193.93326,gps [GPS],00:00:01,20.3,0,,,,False,35 / 35,4462,5563.1,-,1.2,1.0,0.7,-,-,Ship,09:09:35 GMT,09:34.6,09:30.8,09:30.8,48.66,30.24,100,3267.0
50.72115,-1.09875,9,3.49,2023-12-12 09:09:36+00:00,gps,50.72099,-1.09881,57,6.0,13.74,195.6002,gps [GPS],00:00:01,9.3,0,,,,False,35 / 36,4463,5572.4,-,1.3,1.0,0.7,-,-,Ship,09:09:36 GMT,09:35.6,09:31.8,09:31.8,49.45,30.72,100,3268.0
50.72105,-1.0988,9,3.65,2023-12-12 09:09:37+00:00,gps,50.72088,-1.09887,57,6.0,13.46,196.24055,gps [GPS],00:00:01,11.6,0,,,,False,36 / 36,4464,5584.1,-,1.3,1.0,0.7,-,-,Ship,09:09:37 GMT,09:36.6,09:32.8,09:32.9,48.44,30.1,100,3269.0
50.72094,-1.09884,9,3.71,2023-12-12 09:09:38+00:00,gps,50.72076,-1.09892,57,6.0,13.51,198.41133,gps [GPS],00:00:01,12.7,0,,,,False,35 / 35,4465,5596.7,-,1.3,1.0,0.8,-,-,Ship,09:09:38 GMT,09:37.6,09:33.8,09:33.8,48.64,30.23,100,3270.0
50.72082,-1.0989,9,3.74,2023-12-12 09:09:39+00:00,gps,50.72064,-1.099,57,6.0,13.86,202.04314,gps [GPS],00:00:01,13.3,0,,,,False,35 / 35,4465,5610.1,-,1.3,1.1,0.7,-,-,Ship,09:09:39 GMT,09:38.5,09:34.8,09:34.8,49.89,31.0,100,3271.0
50.72071,-1.09897,9,3.74,2023-12-12 09:09:40+00:00,gps,50.72053,-1.09908,57,6.0,13.85,203.76634,gps [GPS],00:00:01,13.6,0,,,,False,34 / 35,4466,5623.7,-,1.2,1.0,0.7,-,-,Ship,09:09:40 GMT,09:39.5,09:35.8,09:35.8,49.85,30.98,100,3272.0
50.7206,-1.09905,9,3.75,2023-12-12 09:09:41+00:00,gps,50.72042,-1.09916,57,6.0,13.93,203.83244,gps [GPS],00:00:01,13.7,0,,,,False,36 / 36,4468,5637.4,-,1.3,1.1,0.7,-,-,Ship,09:09:41 GMT,09:40.6,09:36.8,09:36.8,50.14,31.16,100,3273.0
50.72048,-1.09913,9,3.75,2023-12-12 09:09:42+00:00,gps,50.7203,-1.09925,57,6.0,13.86,205.60466,gps [GPS],00:00:01,13.8,0,,,,False,35 / 35,4469,5651.2,-,1.3,1.1,0.7,-,-,Ship,09:09:42 GMT,09:41.6,09:37.8,09:37.8,49.88,30.99,100,3274.0
50.72037,-1.09921,8,3.75,2023-12-12 09:09:43+00:00,gps,50.72019,-1.09934,56,6.0,14.23,205.3799,gps [GPS],00:00:01,14.0,0,,,,False,36 / 36,4470,5665.2,-,1.2,0.9,0.8,-,-,Ship,09:09:43 GMT,09:42.6,09:38.9,09:38.9,51.21,31.82,100,3275.0
50.72025,-1.0993,8,3.75,2023-12-12 09:09:44+00:00,gps,50.72008,-1.09943,56,6.0,13.94,205.37802,gps [GPS],00:00:01,14.1,0,,,,False,35 / 36,4471,5679.3,-,1.3,1.0,0.7,-,-,Ship,09:09:44 GMT,09:43.6,09:39.9,09:39.9,50.19,31.18,100,3276.0
50.72014,-1.09939,8,3.75,2023-12-12 09:09:45+00:00,gps,50.71996,-1.09952,56,6.0,14.01,205.16542,gps [GPS],00:00:01,14.3,0,,,,False,35 / 35,4472,5693.6,-,1.3,1.1,0.8,-,-,Ship,09:09:45 GMT,09:44.6,09:40.8,09:40.8,50.43,31.34,100,3277.0
50.72002,-1.09948,8,3.75,2023-12-12 09:09:46+00:00,gps,50.71984,-1.09961,56,6.0,14.08,205.00435,gps [GPS],00:00:01,14.3,0,,,,False,35 / 36,4473,5707.9,-,1.4,1.1,0.7,-,-,Ship,09:09:46 GMT,09:45.6,09:41.9,09:41.9,50.68,31.49,100,3278.0
50.71991,-1.09956,8,3.75,2023-12-12 09:09:47+00:00,gps,50.71973,-1.0997,56,6.0,14.1,204.85739,gps [GPS],00:00:01,14.3,0,,,,False,36 / 36,4474,5722.2,-,1.3,1.1,0.7,-,-,Ship,09:09:47 GMT,09:46.6,09:42.8,09:42.9,50.76,31.54,100,3279.0
50.71979,-1.09965,8,3.75,2023-12-12 09:09:48+00:00,gps,50.71961,-1.09979,56,6.0,14.36,204.42697,gps [GPS],00:00:01,14.5,0,,,,False,36 / 36,4475,5736.7,-,1.3,1.0,0.8,-,-,Ship,09:09:48 GMT,09:47.6,09:43.9,09:43.9,51.69,32.12,100,3280.0
50.71967,-1.09974,8,3.75,2023-12-12 09:09:49+00:00,gps,50.71948,-1.09988,56,6.0,14.56,204.15938,gps [GPS],00:00:01,14.6,0,,,,False,36 / 36,4476,5751.3,-,1.3,1.0,0.8,-,-,Ship,09:09:49 GMT,09:48.6,09:44.9,09:44.9,52.41,32.56,100,3281.0
50.71955,-1.09983,8,3.75,2023-12-12 09:09:50+00:00,gps,50.71937,-1.09996,56,6.0,14.26,203.05809,gps [GPS],00:00:01,14.4,0,,,,False,36 / 36,4477,5765.8,-,1.3,1.1,0.8,-,-,Ship,09:09:50 GMT,09:49.6,09:45.9,09:45.9,51.32,31.89,100,3282.0
50.71943,-1.09991,8,3.75,2023-12-12 09:09:51+00:00,gps,50.71925,-1.10004,56,6.0,14.23,204.18987,gps [GPS],00:00:01,14.4,0,,,,False,36 / 36,4478,5780.1,-,1.3,1.1,0.8,-,-,Ship,09:09:51 GMT,09:50.6,09:46.8,09:46.9,51.24,31.84,100,3283.0
50.71932,-1.09999,8,3.75,2023-12-12 09:09:52+00:00,gps,50.71913,-1.10012,56,6.0,14.24,204.19193,gps [GPS],00:00:01,14.4,0,,,,False,36 / 36,4478,5794.5,-,1.4,1.1,0.7,-,-,Ship,09:09:52 GMT,09:51.5,09:47.8,09:47.8,51.27,31.86,100,3284.0
50.7192,-1.10008,8,3.75,2023-12-12 09:09:53+00:00,gps,50.71901,-1.1002,56,6.0,14.44,204.2932,gps [GPS],00:00:01,14.3,0,,,,False,35 / 35,4479,5808.8,-,1.3,1.1,0.8,-,-,Ship,09:09:53 GMT,09:52.5,09:48.8,09:48.8,51.98,32.3,100,3285.0
50.71908,-1.10016,8,3.75,2023-12-12 09:09:54+00:00,gps,50.7189,-1.10028,56,6.0,14.25,204.20851,gps [GPS],00:00:01,14.2,0,,,,False,35 / 35,4481,5823.0,-,1.2,0.9,0.8,-,-,Ship,09:09:54 GMT,09:53.6,09:49.9,09:49.9,51.31,31.88,100,3286.0
50.71897,-1.10024,8,3.75,2023-12-12 09:09:55+00:00,gps,50.71879,-1.10036,56,6.0,14.19,202.8815,gps [GPS],00:00:01,14.0,0,,,,False,35 / 35,4482,5837.0,-,1.2,0.9,0.8,-,-,Ship,09:09:55 GMT,09:54.6,09:50.8,09:50.8,51.07,31.73,100,3287.0
50.71885,-1.10031,8,3.75,2023-12-12 09:09:56+00:00,gps,50.71867,-1.10042,56,6.0,14.39,200.19458,gps [GPS],00:00:01,13.8,0,,,,False,34 / 35,4483,5850.8,-,1.2,1.0,0.7,-,-,Ship,09:09:56 GMT,09:55.6,09:51.8,09:51.9,51.8,32.18,100,3288.0
50.71873,-1.10038,8,3.75,2023-12-12 09:09:57+00:00,gps,50.71855,-1.10049,56,6.0,14.75,199.9251,gps [GPS],00:00:01,14.2,0,,,,False,34 / 34,4484,5865.0,-,1.3,1.1,0.7,-,-,Ship,09:09:57 GMT,09:56.6,09:52.8,09:52.8,53.09,32.99,100,3289.0
50.71861,-1.10045,8,3.75,2023-12-12 09:09:57.999000+00:00,gps,50.71842,-1.10057,56,6.0,14.57,200.33849,gps [GPS],00:00:00,14.4,0,,,,False,34 / 34,4485,5879.4,-,1.2,1.0,0.7,-,-,Ship,09:09:57 GMT,09:57.6,09:53.9,09:53.9,52.45,32.59,100,3289.999
50.71849,-1.10053,8,3.75,2023-12-12 09:09:58.999000+00:00,gps,50.7183,-1.10064,57,6.0,14.65,200.4011,gps [GPS],00:00:01,14.6,0,,,,False,35 / 36,4486,5894.0,-,1.3,1.0,0.9,-,-,Ship,09:09:58 GMT,09:58.6,09:54.8,09:54.8,52.75,32.77,100,3290.999
50.71841,-1.10058,9,4.12,2023-12-12 09:09:59.999000+00:00,gps,50.71818,-1.10071,57,8.0,14.64,200.46379,gps [GPS],00:00:01,9.8,0,,,,False,34 / 34,4487,5903.8,-,1.4,1.1,0.9,-,-,Ship,09:09:59 GMT,09:59.5,09:55.8,09:55.8,52.72,32.76,100,3291.999
50.7183,-1.10064,9,4.3,2023-12-12 09:10:00.999000+00:00,gps,50.71805,-1.10078,57,8.0,14.99,200.49887,gps [GPS],00:00:01,12.1,0,,,,False,36 / 36,4488,5915.8,-,1.2,0.9,0.8,-,-,Ship,09:10:00 GMT,10:00.6,09:56.9,09:56.9,53.95,33.52,100,3292.999
50.71819,-1.1007,9,4.38,2023-12-12 09:10:01.999000+00:00,gps,50.71793,-1.10084,57,8.0,14.57,197.13478,gps [GPS],00:00:01,13.2,0,,,,False,34 / 36,4489,5929.1,-,1.3,1.1,0.8,-,-,Ship,09:10:01 GMT,10:01.6,09:57.8,09:57.8,52.46,32.6,100,3293.999
