t,x,y,z,time_from_sync
3941.494999885559,-6508,2109,-136,3891.0
3941.5,-6509,2116,-140,3891.005000114441
3941.5049998760223,-6511,2124,-143,3891.0099999904633
3941.5099999904633,-6511,2131,-145,3891.015000104904
3941.5149998664856,-6511,2136,-147,3891.0199999809265
3941.5199999809274,-6509,2142,-148,3891.0250000953683
3941.524999856949,-6506,2148,-150,3891.0299999713898
3941.5299999713898,-6503,2152,-151,3891.0350000858307
3941.534999847412,-6502,2158,-153,3891.039999961853
3941.539999961853,-6501,2165,-154,3891.045000076294
3941.5449998378754,-6501,2171,-155,3891.0499999523163
3941.549999952316,-6500,2174,-157,3891.0550000667567
3941.5549998283386,-6497,2175,-160,3891.0599999427795
3941.55999994278,-6494,2174,-162,3891.065000057221
3941.564999818802,-6492,2172,-165,3891.069999933243
3941.569999933243,-6493,2169,-168,3891.0750000476837
3941.574999809265,-6495,2168,-170,3891.079999923706
3941.579999923706,-6498,2170,-174,3891.085000038147
3941.584999799728,-6497,2173,-176,3891.089999914169
3941.589999914169,-6492,2180,-179,3891.09500002861
3941.594999790192,-6490,2186,-181,3891.099999904633
3941.599999904633,-6489,2191,-182,3891.105000019074
3941.604999780655,-6489,2197,-184,3891.109999895096
3941.609999895096,-6490,2205,-186,3891.1150000095367
3941.614999771118,-6486,2211,-187,3891.119999885559
3941.619999885559,-6481,2220,-188,3891.125
3941.625,-6475,2227,-189,3891.130000114441
3941.6299998760223,-6471,2229,-190,3891.1349999904633
3941.6349999904633,-6470,2235,-193,3891.140000104904
3941.6399998664856,-6470,2240,-195,3891.1449999809265
3941.6449999809274,-6473,2242,-196,3891.1500000953683
3941.649999856949,-6475,2245,-196,3891.1549999713898
3941.6549999713898,-6476,2248,-196,3891.1600000858307
3941.659999847412,-6476,2249,-197,3891.164999961853
3941.664999961853,-6473,2251,-199,3891.170000076294
3941.6699998378754,-6469,2255,-204,3891.1749999523163
3941.674999952316,-6466,2258,-208,3891.1800000667567
3941.6799998283386,-6464,2261,-212,3891.1849999427795
3941.68499994278,-6463,2263,-215,3891.190000057221
3941.689999818802,-6463,2263,-217,3891.194999933243
3941.694999933243,-6460,2265,-217,3891.2000000476837
3941.699999809265,-6458,2268,-217,3891.204999923706
3941.704999923706,-6456,2270,-216,3891.210000038147
3941.709999799728,-6453,2273,-217,3891.214999914169
3941.714999914169,-6451,2278,-218,3891.22000002861
3941.719999790192,-6450,2281,-217,3891.224999904633
3941.724999904633,-6450,2287,-218,3891.230000019074
3941.729999780655,-6454,2292,-218,3891.234999895096
3941.734999895096,-6459,2292,-220,3891.2400000095367
3941.739999771118,-6461,2292,-221,3891.244999885559
3941.744999885559,-6461,2295,-222,3891.25
3941.75,-6455,2302,-223,3891.255000114441
3941.7549998760223,-6447,2310,-222,3891.2599999904633
3941.7599999904633,-6441,2316,-222,3891.265000104904
3941.7649998664856,-6437,2319,-222,3891.2699999809265
3941.7699999809274,-6436,2322,-222,3891.2750000953683
3941.774999856949,-6436,2325,-224,3891.2799999713898
3941.7799999713898,-6437,2330,-227,3891.2850000858307
3941.784999847412,-6434,2334,-230,3891.289999961853
3941.789999961853,-6432,2338,-231,3891.295000076294
3941.7949998378754,-6430,2341,-232,3891.2999999523163
3941.799999952316,-6425,2340,-233,3891.3050000667567
3941.8049998283386,-6420,2343,-234,3891.3099999427795
3941.80999994278,-6415,2342,-236,3891.315000057221
3941.814999818802,-6411,2342,-238,3891.319999933243
3941.819999933243,-6409,2344,-241,3891.3250000476837
3941.824999809265,-6409,2347,-243,3891.329999923706
3941.829999923706,-6407,2349,-243,3891.335000038147
3941.834999799728,-6408,2351,-244,3891.339999914169
3941.839999914169,-6408,2355,-245,3891.34500002861
3941.844999790192,-6409,2359,-247,3891.349999904633
3941.849999904633,-6410,2364,-249,3891.355000019074
3941.854999780655,-6410,2368,-252,3891.359999895096
3941.859999895096,-6412,2370,-254,3891.3650000095367
3941.864999771118,-6411,2368,-255,3891.369999885559
3941.869999885559,-6410,2368,-258,3891.375
3941.875,-6408,2372,-259,3891.380000114441
3941.8799998760223,-6405,2377,-260,3891.3849999904633
3941.8849999904633,-6401,2381,-260,3891.390000104904
3941.8899998664856,-6400,2385,-260,3891.3949999809265
3941.8949999809274,-6398,2388,-260,3891.4000000953683
3941.899999856949,-6398,2394,-261,3891.4049999713898
3941.9049999713898,-6398,2397,-262,3891.4100000858307
