t,x,y,z,time_from_sync
3917.625,-358,106,-377,3891.005833427111
3917.6349999904633,-358,107,-374,3891.0158334175744
3917.6449999809274,-357,108,-372,3891.0258334080386
3917.6549999713898,-357,108,-373,3891.035833398501
3917.664999961853,-357,107,-373,3891.045833388964
3917.674999952316,-357,107,-374,3891.055833379427
3917.68499994278,-357,106,-374,3891.065833369891
3917.694999933243,-357,106,-375,3891.075833360354
3917.700000047684,-357,107,-372,3891.0808334747953
3917.704999923706,-357,107,-372,3891.085833350817
3917.724999904633,-356,107,-371,3891.105833331744
3917.7400000095367,-356,107,-372,3891.120833436648
3917.75,-356,106,-374,3891.130833427111
3917.7599999904633,-356,106,-374,3891.1408334175744
3917.7699999809274,-356,105,-375,3891.1508334080386
3917.7799999713898,-356,105,-376,3891.160833398501
3917.789999961853,-356,105,-376,3891.170833388964
3917.799999952316,-356,106,-374,3891.180833379427
3917.80999994278,-355,108,-372,3891.190833369891
3917.819999933243,-355,107,-374,3891.200833360354
3917.829999923706,-356,107,-374,3891.210833350817
3917.839999914169,-355,106,-375,3891.22083334128
3917.849999904633,-355,106,-375,3891.230833331744
3917.859999895096,-355,106,-376,3891.240833322207
3917.869999885559,-354,105,-376,3891.2508333126702
3917.8799998760223,-354,106,-373,3891.2608333031335
3917.8899998664856,-354,107,-371,3891.2708332935968
3917.900000095368,-354,106,-372,3891.280833522479
3917.910000085831,-353,106,-374,3891.2908335129423
3917.920000076294,-353,106,-374,3891.300833503405
3917.930000066757,-353,106,-374,3891.3108334938684
3917.940000057221,-353,105,-375,3891.320833484332
3917.950000047684,-353,107,-372,3891.3308334747953
3917.960000038147,-352,108,-370,3891.340833465258
3917.97000002861,-352,107,-371,3891.350833455721
3917.9800000190735,-352,106,-372,3891.3608334461846
3917.9900000095367,-352,105,-373,3891.370833436648
3918.0,-352,105,-374,3891.380833427111
3918.0099999904633,-351,105,-374,3891.3908334175744
3918.0199999809274,-351,105,-375,3891.4008334080386
3918.0299999713898,-351,106,-372,3891.410833398501
3918.039999961853,-351,107,-371,3891.420833388964
3918.049999952316,-350,106,-372,3891.430833379427
3918.05999994278,-350,105,-373,3891.440833369891
3918.069999933243,-350,105,-374,3891.450833360354
3918.079999923706,-350,105,-375,3891.460833350817
3918.089999914169,-350,105,-375,3891.47083334128
3918.099999904633,-350,104,-376,3891.480833331744
3918.109999895096,-350,106,-373,3891.490833322207
3918.119999885559,-350,107,-371,3891.5008333126702
3918.1299998760223,-349,106,-373,3891.5108333031335
3918.1399998664856,-349,105,-374,3891.5208332935968
3918.150000095368,-349,105,-374,3891.530833522479
3918.160000085831,-350,105,-374,3891.5408335129423
3918.170000076294,-350,105,-375,3891.550833503405
3918.180000066757,-350,105,-376,3891.5608334938684
3918.190000057221,-349,107,-373,3891.570833484332
3918.200000047684,-348,108,-371,3891.5808334747953
3918.210000038147,-348,107,-373,3891.590833465258
3918.22000002861,-348,107,-374,3891.600833455721
3918.2300000190735,-347,106,-374,3891.6108334461846
3918.2400000095367,-347,106,-375,3891.620833436648
3918.25,-347,106,-375,3891.630833427111
3918.2599999904633,-346,107,-372,3891.6408334175744
3918.2699999809274,-346,108,-370,3891.6508334080386
3918.2799999713898,-346,107,-371,3891.660833398501
3918.289999961853,-346,106,-372,3891.670833388964
3918.299999952316,-346,105,-373,3891.680833379427
3918.30999994278,-346,105,-373,3891.690833369891
3918.319999933243,-345,105,-373,3891.700833360354
3918.329999923706,-345,105,-373,3891.710833350817
3918.339999914169,-345,106,-371,3891.72083334128
3918.349999904633,-344,107,-369,3891.730833331744
3918.359999895096,-343,107,-370,3891.740833322207
3918.369999885559,-343,106,-371,3891.7508333126702
3918.3799998760223,-344,106,-372,3891.7608333031335
3918.3899998664856,-344,105,-372,3891.7708332935968
3918.400000095368,-343,105,-373,3891.780833522479
3918.410000085831,-343,105,-373,3891.7908335129423
3918.420000076294,-343,106,-370,3891.800833503405
3918.430000066757,-343,108,-368,3891.8108334938684
3918.440000057221,-342,107,-369,3891.820833484332
3918.450000047684,-342,107,-371,3891.8308334747953
3918.460000038147,-342,106,-372,3891.840833465258
