Lat,Lng,Alt,Acc,Time,Prv,OrgLat,OrgLng,OrgAlt,OrgAcc,Speed,Bearing,AdvPrv,Dly,Dst,AltOfst,Pressure,PressureRef,RefAge,FromBT,Sats,Secs,AccDst,Quality,PDOP,VDOP,HDOP,DGPSAge,DGPSStat,Category,TimeWithTZ,TimeWithMS,DeviceTime,WriteTime,SpeedKPH,SpeedMPH,Battery,time_from_sync
50.73617,-1.14317,2,3.74,2023-12-12 09:32:59.999000+00:00,gps,50.73619,-1.14321,51,6.0,2.7,307.01685,gps [GPS],00:00:01,2.1,0,,,,False,31 / 34,5867,18317.0,-,1.3,1.1,0.7,-,-,Ship,09:32:59 GMT,32:59.6,32:55.9,32:55.9,9.72,6.04,100,4671.999
50.73619,-1.14321,2,3.07,2023-12-12 09:33:00.999000+00:00,gps,50.73621,-1.14324,51,4.0,3.21,306.02548,gps [GPS],00:00:01,3.7,0,,,,False,31 / 33,5868,18320.7,-,1.4,1.2,0.8,-,-,Ship,09:33:00 GMT,33:00.6,32:56.9,32:56.9,11.56,7.18,100,4672.999
50.73621,-1.14325,3,2.93,2023-12-12 09:33:01.999000+00:00,gps,50.73622,-1.14328,51,4.0,3.56,303.31607,gps [GPS],00:00:01,3.2,0,,,,False,32 / 33,5869,18323.9,-,1.4,1.2,0.8,-,-,Ship,09:33:01 GMT,33:01.6,32:57.8,32:57.8,12.83,7.97,100,4673.999
50.73623,-1.14329,3,2.89,2023-12-12 09:33:02.999000+00:00,gps,50.73624,-1.14333,51,4.0,3.89,299.14163,gps [GPS],00:00:01,3.6,0,,,,False,30 / 33,5870,18327.5,-,1.4,1.2,0.8,-,-,Ship,09:33:02 GMT,33:02.6,32:58.8,32:58.9,13.99,8.69,100,4674.999
50.73623,-1.14331,3,3.7,2023-12-12 09:33:03.999000+00:00,gps,50.73626,-1.14339,51,8.0,4.25,297.20163,gps [GPS],00:00:01,1.6,0,,,,False,31 / 34,5871,18329.1,-,1.5,1.2,0.8,-,-,Ship,09:33:03 GMT,33:03.6,32:59.9,32:59.9,15.31,9.51,100,4675.999
50.73624,-1.14335,3,4.09,2023-12-12 09:33:04.999000+00:00,gps,50.73628,-1.14345,51,8.0,4.42,296.92685,gps [GPS],00:00:01,2.7,0,,,,False,30 / 32,5872,18331.8,-,1.5,1.2,0.8,-,-,Ship,09:33:04 GMT,33:04.6,33:00.8,33:00.8,15.92,9.9,100,4676.999
50.73626,-1.14341,3,3.87,2023-12-12 09:33:05.999000+00:00,gps,50.73629,-1.1435,52,6.0,4.46,296.75894,gps [GPS],00:00:01,5.1,0,,,,False,30 / 33,5873,18336.9,-,1.4,1.1,0.8,-,-,Ship,09:33:05 GMT,33:05.6,33:01.8,33:01.8,16.06,9.98,100,4677.999
50.73628,-1.14347,4,3.8,2023-12-12 09:33:06.999000+00:00,gps,50.73631,-1.14356,52,6.0,4.53,296.07355,gps [GPS],00:00:01,4.7,0,,,,False,32 / 33,5874,18341.6,-,1.4,1.1,0.8,-,-,Ship,09:33:06 GMT,33:06.6,33:02.8,33:02.9,16.3,10.13,100,4678.999
50.7363,-1.14353,4,3.77,2023-12-12 09:33:07.999000+00:00,gps,50.73633,-1.14363,52,6.0,4.67,294.0525,gps [GPS],00:00:01,4.7,0,,,,False,32 / 34,5875,18346.3,-,1.3,1.0,0.7,-,-,Ship,09:33:07 GMT,33:07.6,33:03.8,33:03.9,16.8,10.44,100,4679.999
50.73632,-1.14359,4,3.76,2023-12-12 09:33:08.999000+00:00,gps,50.73635,-1.14369,52,6.0,4.81,293.26517,gps [GPS],00:00:01,4.7,0,,,,False,32 / 33,5876,18351.0,-,1.3,1.0,0.7,-,-,Ship,09:33:08 GMT,33:08.6,33:04.8,33:04.9,17.32,10.76,100,4680.999
