t,x,y,z,time_from_sync
4721.494999885559,-6019,1422,-3158,4671.0
4721.5,-6017,1426,-3158,4671.005000114441
4721.504999876022,-6016,1428,-3157,4671.009999990463
4721.509999990463,-6019,1426,-3157,4671.015000104904
4721.514999866486,-6020,1424,-3156,4671.0199999809265
4721.519999980927,-6022,1424,-3156,4671.025000095368
4721.524999856949,-6027,1426,-3155,4671.02999997139
4721.52999997139,-6030,1426,-3155,4671.035000085831
4721.534999847412,-6031,1425,-3156,4671.039999961853
4721.539999961853,-6031,1424,-3156,4671.045000076294
4721.544999837875,-6028,1421,-3156,4671.049999952316
4721.549999952316,-6022,1420,-3157,4671.055000066757
4721.554999828339,-6019,1421,-3158,4671.0599999427795
4721.55999994278,-6019,1419,-3159,4671.065000057221
4721.564999818802,-6023,1416,-3161,4671.069999933243
4721.569999933243,-6026,1412,-3162,4671.075000047684
4721.574999809265,-6030,1408,-3163,4671.079999923706
4721.579999923706,-6033,1407,-3164,4671.085000038147
4721.584999799728,-6036,1408,-3163,4671.089999914169
4721.589999914169,-6040,1409,-3162,4671.09500002861
4721.594999790192,-6042,1409,-3163,4671.099999904633
4721.599999904633,-6042,1409,-3164,4671.1050000190735
4721.604999780655,-6041,1410,-3168,4671.109999895096
4721.609999895096,-6037,1415,-3170,4671.115000009537
4721.614999771118,-6035,1421,-3170,4671.119999885559
4721.619999885559,-6031,1422,-3171,4671.125
4721.625,-6030,1419,-3171,4671.130000114441
4721.629999876022,-6027,1414,-3172,4671.134999990463
4721.634999990463,-6028,1409,-3173,4671.140000104904
4721.639999866486,-6029,1405,-3173,4671.1449999809265
4721.644999980927,-6028,1401,-3174,4671.150000095368
4721.649999856949,-6030,1397,-3175,4671.15499997139
4721.65499997139,-6033,1396,-3177,4671.160000085831
4721.659999847412,-6033,1393,-3178,4671.164999961853
4721.664999961853,-6035,1393,-3181,4671.170000076294
4721.669999837875,-6037,1395,-3183,4671.174999952316
4721.674999952316,-6038,1396,-3185,4671.180000066757
4721.679999828339,-6039,1397,-3185,4671.1849999427795
4721.68499994278,-6038,1397,-3184,4671.190000057221
4721.689999818802,-6037,1397,-3184,4671.194999933243
4721.694999933243,-6033,1398,-3183,4671.200000047684
4721.699999809265,-6030,1402,-3182,4671.204999923706
4721.704999923706,-6028,1407,-3182,4671.210000038147
4721.709999799728,-6028,1410,-3182,4671.214999914169
4721.714999914169,-6024,1407,-3182,4671.22000002861
4721.719999790192,-6020,1405,-3183,4671.224999904633
4721.724999904633,-6018,1400,-3185,4671.2300000190735
4721.729999780655,-6019,1395,-3186,4671.234999895096
4721.734999895096,-6020,1393,-3189,4671.240000009537
4721.739999771118,-6025,1390,-3190,4671.244999885559
4721.744999885559,-6027,1387,-3190,4671.25
4721.75,-6027,1380,-3189,4671.255000114441
4721.754999876022,-6025,1370,-3187,4671.259999990463
4721.759999990463,-6019,1357,-3185,4671.265000104904
4721.764999866486,-6013,1343,-3184,4671.2699999809265
