Lat,Lng,Alt,Acc,Time,Prv,OrgLat,OrgLng,OrgAlt,OrgAcc,Speed,Bearing,AdvPrv,Dly,Dst,AltOfst,Pressure,PressureRef,RefAge,FromBT,Sats,Secs,AccDst,Quality,PDOP,VDOP,HDOP,DGPSAge,DGPSStat,Category,TimeWithTZ,TimeWithMS,DeviceTime,WriteTime,SpeedKPH,SpeedMPH,Battery,time_from_sync,aligned_time,time_diff_ms
50.74564,-1.23276,-6,3.76,2023-12-12 13:37:27.999000+00:00,gps,50.74563,-1.23278,42,6.0,1.07,251.01701,gps [GPS],00:00:01,1.2,0.0,,,,False,27 / 29,1516,11806.7,-,1.6,1.5,0.7,-,-,Ship,13:37:27 GMT,13:37:28.192,13:37:23.891,13:37:23.903,3.86,2.4,74,1382.0,1382.0,0.0
50.74564,-1.23276,-6,3.76,2023-12-12 13:37:27.999000+00:00,gps,50.74563,-1.23278,42,6.0,1.07,251.01701,gps [GPS],00:00:01,1.2,0.0,,,,False,27 / 29,1516,11806.7,-,1.6,1.5,0.7,-,-,Ship,13:37:27 GMT,13:37:28.192,13:37:23.891,13:37:23.903,3.86,2.4,74,1382.0,1382.005000114441,5.000114440917969
50.74564,-1.23276,-6,3.76,2023-12-12 13:37:27.999000+00:00,gps,50.74563,-1.23278,42,6.0,1.07,251.01701,gps [GPS],00:00:01,1.2,0.0,,,,False,27 / 29,1516,11806.7,-,1.6,1.5,0.7,-,-,Ship,13:37:27 GMT,13:37:28.192,13:37:23.891,13:37:23.903,3.86,2.4,74,1382.0,1382.0099999904637,9.999990463711583
50.74564,-1.23276,-6,3.76,2023-12-12 13:37:27.999000+00:00,gps,50.74563,-1.23278,42,6.0,1.07,251.01701,gps [GPS],00:00:01,1.2,0.0,,,,False,27 / 29,1516,11806.7,-,1.6,1.5,0.7,-,-,Ship,13:37:27 GMT,13:37:28.192,13:37:23.891,13:37:23.903,3.86,2.4,74,1382.0,1382.0150001049042,15.000104904174805
50.74564,-1.23276,-6,3.76,2023-12-12 13:37:27.999000+00:00,gps,50.74563,-1.23278,42,6.0,1.07,251.01701,gps [GPS],00:00:01,1.2,0.0,,,,False,27 / 29,1516,11806.7,-,1.6,1.5,0.7,-,-,Ship,13:37:27 GMT,13:37:28.192,13:37:23.891,13:37:23.903,3.86,2.4,74,1382.0,1382.0199999809265,19.999980926513672
50.74563,-1.23277,-7,4.12,2023-12-12 13:37:28.999000+00:00,gps,50.74563,-1.2328,42,8.0,1.11,257.1226,gps [GPS],00:00:01,0.9,0.0,,,,False,27 / 29,1517,11807.6,-,1.5,1.2,0.8,-,-,Ship,13:37:28 GMT,13:37:29.211,13:37:24.909,13:37:24.925,3.99,2.48,74,1383.0,1382.9800000190735,19.999980926513672
50.74563,-1.23277,-7,4.12,2023-12-12 13:37:28.999000+00:00,gps,50.74563,-1.2328,42,8.0,1.11,257.1226,gps [GPS],00:00:01,0.9,0.0,,,,False,27 / 29,1517,11807.6,-,1.5,1.2,0.8,-,-,Ship,13:37:28 GMT,13:37:29.211,13:37:24.909,13:37:24.925,3.99,2.48,74,1383.0,1382.9850001335144,14.999866485595703
50.74563,-1.23277,-7,4.12,2023-12-12 13:37:28.999000+00:00,gps,50.74563,-1.2328,42,8.0,1.11,257.1226,gps [GPS],00:00:01,0.9,0.0,,,,False,27 / 29,1517,11807.6,-,1.5,1.2,0.8,-,-,Ship,13:37:28 GMT,13:37:29.211,13:37:24.909,13:37:24.925,3.99,2.48,74,1383.0,1382.9900000095367,9.999990463256836
50.74563,-1.23277,-7,4.12,2023-12-12 13:37:28.999000+00:00,gps,50.74563,-1.2328,42,8.0,1.11,257.1226,gps [GPS],00:00:01,0.9,0.0,,,,False,27 / 29,1517,11807.6,-,1.5,1.2,0.8,-,-,Ship,13:37:28 GMT,13:37:29.211,13:37:24.909,13:37:24.925,3.99,2.48,74,1383.0,1382.995000123978,4.9998760221114935
50.74563,-1.23277,-7,4.12,2023-12-12 13:37:28.999000+00:00,gps,50.74563,-1.2328,42,8.0,1.11,257.1226,gps [GPS],00:00:01,0.9,0.0,,,,False,27 / 29,1517,11807.6,-,1.5,1.2,0.8,-,-,Ship,13:37:28 GMT,13:37:29.211,13:37:24.909,13:37:24.925,3.99,2.48,74,1383.0,1383.0,0.0
